Root,No of derevatives found,derevatives found,Root Length,Has Vowel,Full Text
أَبأ,2, الأَبَاءة أَباءٌ,4,vowel, *أَبأ*	 قال الشيخ أَبو محمد بن بَرِّي رحِمه اللّه  [الأَبَاءة] لأَِجَمَةِ القَصَبِ  والجمعُ أَباءٌ  قال وربما ذُكر هذا الحرف في المعتلِّ من الصِّحاح وإِن الهمزةَ أَصلها ياءٌ  قال  وليس ذلك بمذهب سِيبَوَيهِ بل يحمِلها على ظاهرها حتى يقومَ دليلٌ أَنها من الواو أَو من الياءِ نحو  الرِّداء لأَنه من الرَّدْية  والكِساء لأَنه من الكُسْوة  واللّه أَعلم 
أَتأ,2, أَتْأةُ أَتْأَةَ,4,vowel,*أَتأ*	 حكى أَبو علي  في التَّذكرة  عن ابن حبيب  أَتـْأةُ أُمُّ قَيْس بن ضِرار قاتل المقدام  وهي من بَكر وائل  قال  وهو من باب أَجأ  1   1 قوله قال « وهو من باب الخ » كذا بالنسخ والذي في شرح القاموس وأنشد ياقوت في أجأ لجرير   قال جرير   يا ابْنَ أَتـْأَةَ  نائماً   وبَنُو أُمامَةَ  عَنْكَ  غَيرُ نيامِ  مع الكرامِ  مُحَرَّماً   وتَرى الزِّناءَ  عَلَيْكَ  غَيرَ حَرَامِ
أثأ,3, أُثْئِيَّةٍ وأَثَأْتُه مُؤْتَثِئاً,3,vowel, *أثأ*	 جاءَ فلان في أُثـْئِيَّةٍ من قومه أَي جماعة  قال  وأَثـَأْتُه إِذا رميتُه بسهم  عن أَبي عبيد الأَصمعي  أَثيْتُه بسهم أَي رميته  وهو حرف غريب  قال وجاءَ أَيضاً أَصبَح فلانٌ مُؤْتَثِئاً أَي لا يَشتهي الطعام  عن الشيباني 
أجأ,9, أَجَأ أَجَأ أَجَأً أَجأ أَجأً أَجأً أَجأ الأَجئِيّون أَجَأَ,3,vowel,*أجأ*	 [[أَجَأ]] على فَعَلٍ بالتحريك  جبلٌ لطيِّىءٍ يذكَّر ويؤَنَّث  وهنالك ثلاثةُ أَجبُل  [[أَجَأ]] وسَلْمَى والعَوْجَاءُ  [[أَجَأ]]ً اسمُ رجُل تعشَّق سَلْمَى وجمعَتْهما العَوْجاءُ  فهرب [[أَجأ]] بسَلمى وذهبَت معهما العوجاءُ  فتبِعهم بعلُ سلمى  فأَدركهم وقتلهم  وصلبَ [[أَجأ]]ً على أَحدِ الأَجْبُلِ  فسمِّيَ [[أَجأ]]ً  وصلب سلمى على الجبل الآخرِ  فسمِّيَ بها  وصلب العوجاءَ على الثالث  فسمِّيَ باسمها  قال  تَلفَّعتْ بشِعافِها  عليَّ  وأَمْستْ  بالعماءِ  مُكلَّله يَهتَزُّ جِيدُها   كَجِيدِ عَرُوسٍ أَصْبَحَتْ مُتَبَذِّلَه  24 > النَّجم  جِنُّ سَلْمى وأَجا فخفَّف تخفيفاً قياسيّاً  وعامَلَ اللفظ كما أَجاز الخليل ناس  على غير التخفيف البدَلي  ولكن على معاملة اللفظ  واللفظُ كثيراً ما يراعَى في صناعة العربية  أَلا تَرى أَن موضوعَ ما لا ينصرف على ذلك  وهو عند الأَخفَش على البدل  فأَما قوله  أَجا وصخْرِه الهمزةَ فقلبها حرف علَّة للضرورة  والخَناذِيذُ رؤُوس الجبال  أَي إِبل مثل قِطع هذا الجبل  الجوهري  [[أَجأ]] وسلمى جبلان لطيىءٍ يُنْسب إليهما [الأَجئِيّون] مثل الأَجعِيُّون   [[أَجَأ]]َ إِذا فَرَّ
أشأ,2, الأَشاءُ أَشاءة,3,vowel, *أشأ*	 الأَشاءُ  صغار النخل  واحدتها [أَشاءة] 
ألأ,8, الأَلاءُ ألاءة الأَلاءِ الأَلاءة الأَلاءِ مأْلوءٌ بالأَلاءِ بالأَلاءِ,3,vowel, *ألأ*	 الأَلاءُ بوزن العَلاء  شجر  ورقهُ وحَمْله دباغٌ  يُمدُّ ويُقْصر  وهو حسَن المنظر مرُّ الطعم  ولا يزال أَخضرَ شتاءً وصيفاً  واحدته [ألاءة] بوزن أَلاعة  وتأْليفه من لام بين همزتين  أَبو زيد  هي شجرة تشبه الآس لا تَغيَّرُ في القيظ  ولها ثمرة تُشبه سُنْبل الذُّرة  ومنبتُها الرمل والأَودية  قال  والسُّلامانُ نحو الأَلاءِ غير أَنها أَصغرُ منها  يُتَّخذ منها المساويك  وثمرتها مثل ثمرتها  ومنبتها الأَودية والصحارى ؛ قال ابن عَنَمَة  [الأَلاءة] لم يُوَسَّدْ   كأَنَّ جبِينَهُ سَيْفٌ صقِيلُ  كثيرةُ الأَلاءِ  وأَديمٌ مأْلوءٌ  مدبوغٌ بالأَلاءِ   إِهابٌ مإِلى  مدبوغ بالأَلاءِ 
أوأ,22, آءَ آءة وآءة آءٍ أُوَيْأَةٌ الآءِ مآءة مَؤُوءٌ أوأ آء آءة أُوَيْأَةٌ الآءَ وآءُ والآءُ الآءُ الآء وآء آءُ الآءَ الآءُ والآءُ,3,vowel,*[أوأ]*	 [آء]َ على وزن عاع  شجر  واحدته [[آءة]]  وفي حديث بين نَخْلة وضَالَة وسِدْرة [وآءة]  العاعَة  وتُجمع على [آء]ٍ بوزنِ عاعٍ  هوشجرٌ معروفٌ  ليس في الكلامِ اسمٌ وقعَت فيهِ الفٌ بين هَمزتين إِلاَّ هذا  هذا قولُ كراع  وهو من مَراتِعِ النَّعامِ  والتنُّومُ نبتٌ آخر  وتصغيرها  أُوَيْأَةٌ  وتأسيسُ بِنَائها من تأْليفِ واوٍ بينَ همزتين  ولو قلتَ من [الآء]ِ  كما تقول من النَّومِ مَنامةٌ  على تقديرِ قلت  أَرض [مآءة]  ولو اشتُقَّ منهُ فعلٌ  كما يُشْتَقُّ من فقيلَ مقروظٌ  فان كان يدبغُ أَو يؤدمُ به طعامٌ أَو يخلطُ به دواءٌ قلتَ  هو مَؤُوءٌ مثل مَعُوع  ويقال من ذلك أؤْتُهُ  1  صواب هذه اللفظة  « [أوأ] » وهي مصدر « [آء] » على جعله من الاجوف الواوي مثل  قلت قولاً  وهو ما أراده المصنف بلا ريب كما يدل عليه الاثر الباقي في الرسم لانه مكتوب بألِفين كما رأيت في الصورة التي نقلناها  ولو أراد ان يكون ممدوداً لرسمه بألفٍ واحدة كما هو الاصطلاح في رسم الممدود  « إبرهيم اليازجي »  بَرِّي  والدليلُ على أَنَّ أَصلَ هذهِ الأَلفِ التي بينَ الهمزتين واوٌ قولُهم في تصغير [[آءة]] أُوَيْأَةٌ   تُّنبتُ [الآء]َ  وليس بثَبتٍ  بن أَبي سُلمى  مِنْها فَوقَ صَعْلٍ   منَ الظِّلْمانِ  جُؤْجُؤُهُ هواءُ مُصَلَّمِ الأُذُنَيْنِ  أَجْنَى  لَهُ  بالسِّيِّ  تَنُّومٌ [وآء]ُ  من الشَّجرِ الدِّفْلى والآءُ  بوزن العاعُ  والأَلاءُ الدِّفْلى  قال الليثُ  [الآء]ُ شجرٌ لهُ ثمرٌ يأْكلهُ قال  وتُسمى الشجرةُ سَرْخَةً وثَمَرُها [الآء]  ممدودٌ  من زجر الإبل  [وآء]  25 > ؛ قال الشاعر  عَمْراً  فَقَدْ لاقَيْتَ مُدَّرِعاً   ولَيْسَ  مِنْ هَمِّه  إِبْلٌ ولا شاءُ لَجِبٍ  جَمٍّ صواهِلُهُ   باللَّيْلِ تُسمَعُ  في حَافاتِهِ  [آء]ُ بَرِّي  الصحيحُ عندَ أَهلِ اللغةِ أَنَّ [الآء]َ ثمرُ السَّرحِ  زيد  هو عنبٌ أَبيض يأْكلهُ الناس  ويتَّخذونَ منهُ وعُذْر من سمَّاه بالشجر أَنهم قد يُسمونَ الشجرَ باسمِ فيقولُ أَحدُهم  في بستاني السفرجل والتفاح  وهو يريد الأَشجارَ  فيعبر بالثمرة عن الشجرِ ؛ ومنهُ قولهُ تعالى >> فأَنْبَتْنا فيها حَباًّ وعِنَباً وقَضْباً وزَيتُونا <<  منها فعلاً لقلتَ  أُوتُ الأَديمَ اذا دبغتهُ به  والأَصلُ أُأْتُ الأَديمَ بهمزتين  فأُبدلت الهمزةُ الثانية واواً لانضمام ما قبلها  أَبو عمرو  [الآء]ُ بوزن العاع  الدِّفلى  قال  والآءُ أَيضاً صياحُ الأَمير بالغلام مثلُ العاع
أبب,45, الأَبُّ الأَبُّ وأَبّاً أَبو أَبّاً الأَبُّ والأَبُّ فالأَبُّ الأَبُّ الأَبُّ الأَبُّ وأَبّاً الأَبُّ أَبّاً يَئِبُّ ويَؤُبُّ أَبّاً وأَبِيباً وأَبابةً وأَبَّ ائْتَبَّ أبَبْتُ أَؤُبُّ أَبَابه وإِبابَتِه وأَبابَتِه أَبو أَبَّ أَبَّ وأَبَّ وأَبَّ يَؤُبُّ أَبَّاً وأَبابةً وإِبابةً إِبَابَتَه وأَبَّتْ أَبابةُ وإِبابَتُه أَبابَ تَأْتَبَّ والأُبابُ الأُبابِ وأُبابُ أَبَّ,3,vowel,*أبب*	 الأَبُّ  الكَلأُ  وعَبَّر بعضُهم  1  قوله بعضهم  هو ابن دريد كما في المحكم  عنه بأَنه الـمَرْعَى  وقال الزجاج  الأَبُّ جَمِيعُ الكَلإِ الذي تَعْتَلِفُه الماشِية  وفي التنزيل العزيز  وفاكِهةً وأَبّاً  قال [[أَبو]] حنيفة  سَمَّى اللّهُ تعالى المرعَى كُلَّه أَبّاً  قال الفرَّاءُ  الأَبُّ ما يأْكُلُه الأَنعامُ  وقال مجاهد  الفاكهةُ ما أَكَله الناس  والأَبُّ ما أَكَلَتِ الأَنْعامُ  فالأَبُّ من الـمَرْعى للدَّوابِّ كالفاكِهةِ للانسان  وقال الشاعر   ونَجْدٌ دارُنا   ولَنا الأَبُّ بهِ والـمَكْرَعُ  205 >  الأَبُّ كُلُّ ما أَخْرَجَتِ الأَرضُ من النَّباتِ  وقال عطاء  كُلُّ شيءٍ يَنْبُتُ على وَجْهِ الأَرضِ فهو الأَبُّ  وفي حديث أنس  أَنَّ عُمر بن الخَطاب  رضي اللّه عنهما  قرأً قوله  عز وجل  وفاكِهةً وأَبّاً  وقال  فما الأَبُّ  ثم قال  ما كُلِّفْنا وما أُمِرْنا بهذا  الـمَرْعَى الـمُتَهَيِّئُ للرَّعْيِ والقَطْع  ومنه حديث قُسّ بن ساعِدةَ  فَجعلَ يَرْتَعُ أَبّاً وأَصِيدُ ضَبّاً  يَئِبُّ ويَؤُبُّ أَبّاً وأَبِيباً وأَبابةً  تَهَيَّأً للذَّهابِ وتَجَهَّز  قال الأَعشى  ولم أَصْرِمْكُمُ  وكصارِمٍ ؛  أَخٌ قد طَوى كَشْحاً  وأَبَّ لِيَذْهَبا في تَهَيُّئي لـمُفارَقَتِكم  ومن تَهَيَّأَ للـمُفارقةِ  فهو كمن صَرَمَ  وكذلك ائْتَبَّ  عبيد  أبَبْتُ أَؤُبُّ [أَبّاً]إِذا عَزَمْتَ على الـمَسِير وتَهَيَّأْتَ  وهو في [أَبَابه] [وإِبابَتِه] [وأَبابَتِه] أَي في جَهازِه  والوَبُّ  التَّهَيُّؤ للحَمْلةِ في الحَرْبِ  يقال  هَبَّ ووَبَّ إِذا تَهَيَّأَ للحَمْلةِ  قال [[أَبو]] منصور  والأَصل فيه أَبَّ فقُلبت الهمزة واواً  ابن الأَعرابي  أَبَّ إِذا حَرَّك  وأَبَّ إِذا هَزَم بِحَمْلةٍ لا مَكْذُوبةَ فيها  النِّزاعُ إِلى الوَطَنِ  وأَبَّ إِلى وطَنِه يَؤُبُّ [أَبَّ]اً وأَبابةً وإِبابةً  نَزَعَ  والـمَعْرُوفُ عند ابن دريد الكَسْرُ  وأَنشد لهِشامٍ أَخي ذي الرُّمة  الـمَحْضَرِ البادِي [إِبَابَتَه]   وقَوَّضَتْ نِيَّةٌ أَطْنابَ تَخْيِيمِ إِلى سَيْفهِ  رَدَّها إليْه ليَسْتَلَّه  [وأَبَّ]تْ أَبابةُ الشيءِ [وإِبابَتُه]  اسْتَقامَت طَريقَتُه  وقالوا للظِّباءِ  إِن أَصابَتِ الماءَ  فلا عَباب  وإِنْ لم تُصِب الماءَ  فلا أَبابَ  أَي لم تَأْتَبَّ له ولا تَتَهيَّأ لطلَبه  وهو مذكور في موضعه  والأُبابُ  الماءُ والسَّرابُ  عن ابن الأَعرابي  وأَنشد  مُسْتَخَفَّ الحِمْلِ   تَشُقُّ أَعْرافَ الأُبابِ الحَفْلِ سُفُنُ البَرِّ  وأُبابُ الماءِ  عُبابُه  قال  ضاحكٍ هَزُوقِ جني  ليست الهمزة فيه بدلاً من عين عُباب  وإِن كنا قد سمعنا  وإِنما هو فُعالٌ من أَبَّ إِذا تَهَيَّأَ   اتَّخِذْه  نادر  عن ابن الأَعرابي  وإِنما قياسه
أتب,28, الإِتْبُ الإِتْبُ إِتْبٌ الإِتْبُ والإِتْبُ أَتَّبْتُها تَأْتِيباً الإِتْبَ الإِتْبُ الإِتْبُ آتابٌ وإِتابٌ والمِئْتَبةُ كالإِتْبِ الإِتْبِ إِتْباً المُؤَتَّبُ وأْتَتَبَ وأَتَّبَها تأْتِيباً الإِتْبَ أَتَّبْتُ تَأْتِيباً وأْتَتَبَتِ مُؤْتَتِبةٌ الإِتْبَ التَّأَتُّبُ تَأَتَّبَ,3,vowel,*أتب*	 الإِتْبُ  البَقِيرة  وهو بُرْدٌ أَو ثوب يُؤْخَذُ فَيُشَقُّ في وسَطِه  ثم تُلْقِيه المرأَةُ في عُنُقِها من غير جَيْب ولا كُمَّيْنِ  قال يحيى  هو الإِتْبُ والعَلَقةُ والصِّدارُ والشَّوْذَرُ  والجمع النخعي  أَنّ جارِيةً زَنَتْ  فَجَلَدَها خَمسين وعليها إِتْبٌ لها وإِزارٌ  الإِتْبُ  بالكسر  بُرْدةٌ تُشَقُّ  فتُلبس من غير كُمَّيْنِ ولا جَيْب  والإِتْبُ  دِرْعُ المرأَة  ويقال [[أَتَّبْتُ]ها] تَأْتِيباً   أَي أَلبَسْتُها الإِتْبَ  فَلَبِسَتْه  وقيل  الإِتْبُ من ما قَصُر فَنَصَفَ الساقَ  وقيل  الإِتْبُ غير الإِزار لا  كالتِّكَّةِ  وليس على خِياطةِ السَّراوِيلِ  ولكنه قَمِيصٌ غير مَخِيطِ الجانبين  وقيل  هو  206 > وهو السَّراوِيلُ بلا رجلين  وقال بعضهم  هو قميص بغير كُمَّيْنِ  والجمع آتابٌ وإِتابٌ  والمِئْتَبةُ كالإِتْبِ  وقيل فيه كلُّ ما قيل في الإِتْبِ   صُيِّرَ إِتْباً  قال كثير عزة   رُؤْد الـمَطا  بَخْتَرِيَّة   جَمِيلٌ عليَها الأَتْحَمِيُّ الـمُؤَتَّبُ به وأْتَتَبَ  [وأَتَّبَها] به وإِيّاه تأْتِيباً  كلاهما  أَلْبَسها الإِتْبَ  فلَبِسَتْه  أَبو زيد  أَتَّبْتُ الجارِيةَ تَأْتِيباً إِذا دَرَّعْتَها دِرْعاً  [وأْتَتَبَ]تِ الجارِيةُ  فهي مُؤْتَتِبةٌ  إِذا لبست الإِتْبَ  وقال أَبو حنيفة  التَّأَتُّبُ أَن يَجْعَلَ الرَّجلُ حِمالَ القَوْسِ في صَدره ويُخْرِجَ مَنْكِبَيْه منها  فيَصِيرَ القَوْس على مَنْكِبَيْه  ويقال  تَأَتَّبَ قَوْسَه على ظَهرِه   قِشْرُها  المِشْمَلُ
أثب,2, المَآثِبُ بالمَآثِبِ,3,vowel, *أثب*	 الـمَآثِبُ  موضع  قال كثير عزة  الصَّيْفِ يَرْمِينَ بالسَّفا   تَلِيَّةَ باقِي قَرْمَلٍ بالـمَآثِبِ
