Root,No of derevatives found,derevatives found,Root Length,Has Vowel,Full Text
قرض,59," قرضت قرضا قرض 'قرض', قرضت قرضا قرض 'قرض', قرضت قرضا قرض 'قرض', قرضت قرضا قرض 'قرض', قرضت قرضا قرض 'قرض', قرضت قرضا قرض 'قرض', قرضت قرضا قرض 'قرض', قرضت قرضا قرض 'قرض', قرضت قرضا قرض 'قرض', قرضت قرضا قرض 'قرض', قرضت قرضا قرض 'قرض', قرضت قرضا قرض 'قرض', قرضت قرضا قرض 'قرض', قرضت قرضا قرض 'قرض', قرضت قرضا قرض",3,no vowel," *[[[[[[[[[[[[[[[قرض]]]]]]]]]]]]]]]* [[[[[[[[[[[[[[[قرضت]]]]]]]]]]]]]]] الشئ أقرضه بالكسر [[[[[[[[[[[[[[[قرضا]]]]]]]]]]]]]]] قطعته يفال جاء فلان وقد [[[[[[[[[[[[[[[قرض]]]]]]]]]]]]]]] رباطه _________  في المطبوعة الاولى "" الوخيا "" صوابه من اللسان والوحى السريع وقبله أتتك عيش تحمل المشيا  ماء من الطثرة أحوذيا  قبله ألف شتى ليس بالراعى الحمق والفأرة تقرض الثوب والقَرْضُ أيضاً قول الشعر خاصَّةً يقال قَرَضْتُ الشعر أقْرِضه إذا قلته والشعر قريض ومنه قول عبيد بن الابرص حال الجريض دون القريض   والقريض أيضاً ما يرُدُّهُ البعير من جرته وكذلك المقروض وبعضهم يحمل قول عبيد على هذا والقراضة ما سقط بالقَرْضِ ومنه قُراضَةُ الذهب والمِقْراضُ واحد المقاريضِ وقَرَضَ فلانٌ أي مات وانْقَرَضَ القومُ دَرَجوا ولم يبقَ منهم أحدٌ وقوله تعالى {وإذا غَرَبَتْ تَقْرِضُهُمْ ذات الشمالِ}  قال أبو عبيدة أي تخلِّفهم شمالاً وتجاوزهم وتَقْطعهم وتتركهم عن شمالها ويقول الرجل لصاحبه هل مررت بمكان كذا وكذا فيقول المسئول قَرَضْتُهُ ذاتَ اليمين ليلا وأنشد لذى الرمة إلى ظعن يقرضن أجواز مشرف  شمالا وعن أيمانهن الفوارس  ومشرف والفوارس موضعان يقول نظرت إلى ظعن يقرضن أي يجزن بين هذين الموضعين _________  الجريض الغصص والقريض الشعر وهذا النص من الامثال ورسم في المطبوعة الاولى على أنه شعر خطأ  - صحاح -  والقرض ما تعطيه من المال لتقضاه والقرض بالكسر لغة فيه حكاها الكسائي واستقرَضْتُ من فلان أي طلبت منه القَرْضَ فأقْرَضَني واقْتَرَضْتُ منه أي أخذت منه القَرْضَ والقَرْضُ أيضاً ما سَلَّفْتُ من إحسان ومن إساءة ; وهو على التشبيه قال الشاعر   كل امرئ سوف يجزى قرضه حسنا  أو سيئا ومدينا  مثل ما دانا  وقال الله تعالى {وأَقْرِضوا الله قَرْضاً حَسَنا}  وقَرَضْتُهُ قَرْضاً وقارَضْتُهُ أي جازيته والتَقْريضُ مثل التقريظِ يقال فلان يُقرِّضُ صاحبَه إذا مدحه أو ذمَّه وهما يتقارَضانِ الخير والشرّ قال الشاعر إنَّ الغَنيَّ أخو الغَنيِّ وإنَّما  يَتَقارَضانِ ولا أخا للمُقْتِرِ  والمُقارَضَةُ المضاربةُ وقد قارَضْتُ فلاناً قِراضاً أي دفعت إليه مالاً يتَّجِرُ فيه ويكون الربحُ بينكما على ما تشترطان والوضيعة على المال _________  أمية بن أبى الصلت  في اللسان "" أو مدينا "" وابن مُقْرَضٍ دُوَيْبَّةٌ يقال لها بالفارسية "" دله "" وهو قتال الحمام"
قضض,29," انْقَضَّ وانْقَضَّ انقضاض تقضى 'قضض', انْقَضَّ وانْقَضَّ انقضاض تقضى 'قضض', انْقَضَّ وانْقَضَّ انقضاض تقضى 'قضض', انْقَضَّ وانْقَضَّ انقضاض تقضى 'قضض', انْقَضَّ وانْقَضَّ انقضاض تقضى 'قضض', انْقَضَّ وانْقَضَّ انقضاض تقضى",3,no vowel, *قضض* انْقَضَّ الحائطُ أي سقط وانْقَضَّ الطائر هوى في طَيرانه ومنه [[[[[[انقضاض]]]]]] الكواكب ولم يستعملوا منه تفعل إلا مبدلا قالوا [[[[[[تقضى]]]]]] فاستثقلوا ثلاث ضادات فأبدلوا من إحداهن ياء كما قالوا تظنى من الظن قال العجاج تَقَضِّيَ البازي إذا البازي كَسَرْ   وقضضنا عليهم الخيل فانْقَضَّتْ عليهم والقَضَضُ الحصى الصغارُ يقال منه قَضَّ الطعامُ يَقَضُّ بالفتح فهو طعامٌ قَضِضٌ وقد قَضِضْتُ منه أيضاً إذا أكلته ووقع بين أضراسك حصًى والقِضَّةُ بالكسر عُذْرَةُ الجارية والقِضَّةُ أيضا أرض ذات حصى قال الراجز يصف دلوا قد وقعت في قضة من شرج  ثم استقلت مثل شدق العلج  وأقض الرجلُ مضجعَه وأقَضَّ عليه المضجعُ أي تترب وخشن _________  قبله إذا الكرام ابتدروا الباع بدر وأقض الله عليه المضجعَ يتعدى ولا يتعدى واسْتَقَضَّ مضجعَه أي وجده خشناً ودرعٌ قَضَّاءُ أي خشنةُ المَسِّ لم تَنسَحِقْ بعدُ ويقال أقَضَّ فلانٌ إذا تتبَّعَ المطامعَ الدنيَّةَ وجاؤا قضهم بقضيضهم أي جاءوا بأجمعهم قال الشماخ أتتنى سليم قضها بقضيضها  تمسح حولي بالبقيع سبالها  وهو منصوب على نية المصدر ومن العرب من يعربه ويجريه مجرى كلهم واقتض الجارية افترعها وقضضت اللؤلؤة أقضها بالضم ثقبتها والقضقضة صوت كسر العظام وأسد قضقاض يقضقض فريسته قال الراجز   كم جاوزت من حية نضناض  وأسد في غيله قضقاض  وكذلك أسد قضاقض
قعض,9," قعضت 'قعض', قعضت 'قعض', قعضت 'قعض', قعضت 'قعض', قعضت",3,no vowel," *قعض* [[[[[قعضت]]]]] العود عطفته كما تعطف عروش الكرم والهودج قال رؤبة يخاطب امرأة  _________  رؤبة  في اللسان "" يخاطب امرأته "" إما ترى دهرا حناني حفضا  أطر الصناعين العريش القعضا  فقد أفدى مرجما منقضا  يقول إن ترى أيتها المرأة الهرم حناني فقد كنت أفدى في حال شبابى لهدايتي في المفاوز وقوتى على السفر وسقطت النون من "" ترين "" للجزم بالمجازاة وما زائدة والصناعين تثنية امرأة صناع والقعض المقعوض وصف بالمصدر كقولك ماء غور والعريش ههنا الهودج"
قوض,4, قَوَّضْتُ نقضته وتَقَوَّضَتِ انتقضتْ,3,vowel, *قوض* قَوَّضْتُ البناءَ [نقضته] من غير هدمٍ وتَقَوَّضَتِ الحِلَقُ والصُفوفُ انتقضتْ وتفرقت وهو جمع حَلْقةٍ من الناس  
قيض,44," انْقاضَ انْقِياضاً تَقَيَّضَ تَقَيُّضاً وتَقَيَّضَتِ تَقَيُّضاً انقاضت منقاضة 'قيض', انْقاضَ انْقِياضاً تَقَيَّضَ تَقَيُّضاً وتَقَيَّضَتِ تَقَيُّضاً انقاضت منقاضة'] 'قيض', انْقاضَ انْقِياضاً تَقَيَّضَ تَقَيُّضاً وتَقَيَّضَتِ تَقَيُّضاً انقاضت منقاضة'] 'قيض', انْقاضَ انْقِياضاً تَقَيَّضَ تَقَيُّضاً وتَقَيَّضَتِ تَقَيُّضاً انقاضت منقاضة'] 'قيض', انْقاضَ انْقِياضاً تَقَيَّضَ تَقَيُّضاً وتَقَيَّضَتِ تَقَيُّضاً انقاضت منقاضة']",3,vowel, *قيض* قال أبو زيد انْقاضَ الجدارُ انْقِياضاً أي تصدَّع من غير أن يسقط فإن سقط قيل تَقَيَّضَ تَقَيُّضاً وتَقَيَّضَتِ البيضةُ تَقَيُّضاً إذا انكسرتْ فِلَقاً قال فإن تصدَّعتْ ولم تنفلق قيل [[[[[انقاضت]]]]] فهى [منقاضة] _________  وتقوض البيت تقوضا وقوضته أنا تقويضا إذا نزعت أعواده وأطنابه وكل مهدوم مقوض هكذا وجدت هذه الزيادة في نسخة قال والقارورة مثله وقِضْتُها أنا فانْقاضَتْ قال الأصمعيّ [انْقاضَ]تِ الرَكِيَّةُ وانْقاضَت السِنُّ أي تَشَقَّقَتْ طولاً وأنشد لأبي ذؤيب فِراقٌ كَقَيْضِ السِنِّ فالصَبْرَ إنَّهُ  لكلِّ أُناسٍ عَثْرَةٌ وجُبورُ  ويروى بالصاد والقَيْضُ ما تفلَّق من قشور البيض الأعلى وقايَضْتُ الرجل مُقايَضَةً أي عاوضْته بمتاعٍ وهما قَيِّضانِ كما تقول بَيِّعانِ وقيض الله فلانا لفلان أي جاء به وأتاحه له ومنه قوله تعالى {وقَيَّضْنا لهم قُرَناءَ}  وتَقَيَّضَ فلان أباه أي أشبهه فصل الكاف
كرض,20," الكِراضُ كَرَضَتِ تَكْرِضُ كَرْضاً الكِراضُ الكراض 'كرض', الكِراضُ كَرَضَتِ تَكْرِضُ كَرْضاً الكِراضُ الكراض 'كرض', الكِراضُ كَرَضَتِ تَكْرِضُ كَرْضاً الكِراضُ الكراض",3,no vowel, *كرض* الكِراضُ ماءُ الفحلِ تلفظه الناقةُ من رحمها بعد ما قبلتْهُ وقد كَرَضَتِ الناقةُ تَكْرِضُ كَرْضاً إذا لَفَظَتْه وقال الأصمعيّ الكِراضُ حَلَقُ الرَحِمِ لا واحد لها من لفظها وأنشد للطرماح سوف تدنيك من لميس سبنتا  ة أمارت بالبول ماء [[[الكراض]]]  أضمرته عشرين يوما ونيلت  حين نيلت يعارة في عراض وقال أبو عبيدة واحدتها كرضة بالضم فصل اللام
لضض,8," لضلاض ولَضْلَضَتُهُ 'لضض', لضلاض ولَضْلَضَتُهُ 'لضض', لضلاض ولَضْلَضَتُهُ",3,no vowel, *لضض* دليل [[[لضلاض]]] أي حاذق ولَضْلَضَتُهُ كثرةُ تلفٌّتِهِ يميناً وشمالاً قال الراجز وبَلْدَةٍ تَغْبى على اللضلاض  فصل الميم
محض,43," المَحْضُ مَحْضاً ماحض محض ومحضت المحض الامحاض وامتحضت امتحضا محضته 'محض', المَحْضُ مَحْضاً ماحض محض ومحضت المحض الامحاض وامتحضت امتحضا محضته 'محض', المَحْضُ مَحْضاً ماحض محض ومحضت المحض الامحاض وامتحضت امتحضا محضته 'محض', المَحْضُ مَحْضاً ماحض محض ومحضت المحض الامحاض وامتحضت امتحضا محضته",3,no vowel, *[[[[محض]]]]* المَحْضُ اللبن الخالصُ وهو الذي لم يخالطه الماء حلواً كان أو حامضاً ولا يسمَّى اللبن مَحْضاً إلا إذا كان كذلك ورجل [[[[ماحض]]]] أي ذو [[[[محض]]]] كقولك تامر ولابن [[[[ومحضت]]]] الرجل سقيته [[[[المحض]]]] وكذلك [[[[الامحاض]]]] [[[[وامتحضت]]]] أنا قال الراجز [[[[امتحضا]]]] وسقيانى الضيحا  فقد كفيت صاحبي الميحا  ويقال أيضا [[[[محضته]]]] الود وأمحضته وكل شئ أخلصته فقد أمحضته وأنشد الكسائي قُلْ للغوانِي أَمَا فِيكُنَّ فاتِكَةٌ  تَعْلو اللئيمَ بضربٍ فيهِ إمحاض  _________  في اللسان وبلد يعيا على اللضلاض  أيهم مغبر الفجاج فاضى وعربى [محض] أي خالص النسبِ الذكر والأنثى والجمع فيه سواءٌ وإن شئت أنَّثت وثنَّيتَ وجمعت مثل قَلبٍ وبَحتٍ وقد مَحُضَ بالضم مُحوضَةً أي صار محضا في حسبه
مخض,89," مَخَضْتُ والمِمْخَضَةُ والمَخيضُ والمَمْخوضُ مُخِضَ يُمْخَضَ وتَمَخَّضَ وامْتَخَضَ الممخضة 'مخض', مَخَضْتُ والمِمْخَضَةُ والمَخيضُ والمَمْخوضُ مُخِضَ يُمْخَضَ وتَمَخَّضَ وامْتَخَضَ الممخضة 'مخض', مَخَضْتُ والمِمْخَضَةُ والمَخيضُ والمَمْخوضُ مُخِضَ يُمْخَضَ وتَمَخَّضَ وامْتَخَضَ الممخضة 'مخض', مَخَضْتُ والمِمْخَضَةُ والمَخيضُ والمَمْخوضُ مُخِضَ يُمْخَضَ وتَمَخَّضَ وامْتَخَضَ الممخضة 'مخض', مَخَضْتُ والمِمْخَضَةُ والمَخيضُ والمَمْخوضُ مُخِضَ يُمْخَضَ وتَمَخَّضَ وامْتَخَضَ الممخضة 'مخض', مَخَضْتُ والمِمْخَضَةُ والمَخيضُ والمَمْخوضُ مُخِضَ يُمْخَضَ وتَمَخَّضَ وامْتَخَضَ الممخضة 'مخض', مَخَضْتُ والمِمْخَضَةُ والمَخيضُ والمَمْخوضُ مُخِضَ يُمْخَضَ وتَمَخَّضَ وامْتَخَضَ الممخضة 'مخض', مَخَضْتُ والمِمْخَضَةُ والمَخيضُ والمَمْخوضُ مُخِضَ يُمْخَضَ وتَمَخَّضَ وامْتَخَضَ الممخضة 'مخض', مَخَضْتُ والمِمْخَضَةُ والمَخيضُ والمَمْخوضُ مُخِضَ يُمْخَضَ وتَمَخَّضَ وامْتَخَضَ الممخضة",3,no vowel," *مخض* مَخَضْتُ اللبنَ أمْخَضُهُ وأمْخُضُهُ وأمْخِضُهُ ثلاث لغاتٍ والمِمْخَضَةُ الإبْريجُ   والمَخيضُ والمَمْخوضُ اللبن الذي قد مُخِضَ وأخِذَ زُبْدُهُ وأمْخَضَ اللبنُ أي حان له أن يُمْخَضَ وتَمَخَّضَ اللبنُ وامْتَخَضَ أي تَحرَّك وكذلك الولد إذا تحرك في بطن الحامل قال عمرو بن حسان أحد بنى الحارث بن همام بن مرة في [[[[[[[[[الممخضة]]]]]]]]] يخاطب امرأته ألا يا أم عمرو  لا تلومى  وأبقى إنما ذا الناس هام  _________  وأنشد في اللسان لقد تمخض في قلبي مَوَدَّتُها  كما تمخَّض في إبريجه اللبن  قال ابن برى المشهور في الرواية "" ألا يا أم قيس "" وهى زوجته وكان قد نزل به ضيف يقال له إساف فعقر له ناقة فلامته ومن القصيدة أفى نابين نالهما إساف  تأوه طلتى ما إن تنام أجدك هل رأيت أبا قبيس  أطال حياته النعم الركام  وكسرى إذ تقسمه بنوه  بأسياف كما اقتسم اللحام  تمخضت المَنونُ له بيومٍ  أنى ولكلِّ حاملة تمام  فجعل قوله "" تمخضت "" ينوب مناب قوله لقحت بولد لانها ما تمخضت بالولد إلا وقد لقحت وقوله "" أنى "" أي حان ولادته لنمام أيام الحمل والمخاض وجع الولادة وقد مَخِضَتِ الناقةُ بالكسر تَمْخَضُ مخاضا مثل سمع سماعا وكل حامل ضربها الطلق فهي ماخِضٌ والجمع مُخَّضٌ   والمَخاضُ أيضاً الحواملُ من النوق واحدتها خَلِفَةٌ ولا واحد لها من لفظها ومنه قيل للفصيل إذا استكمل الحول ودخل في الثانية ابن مخاض والانثى ابنة مخاض لانه فصل عن أمه وألحقت أمه بالمخاض   سواء لقحت أم لم تلقح وابن مخاض نكرة فإذا أردت تعريفه _________  وزاد في القاموس مواخض  في اللسان "" هو الذى حملت أمه أو حملت لابل التى فها أمه وإن لم تحمل هي "" أدخلت عليه الالف واللام إلا أنه تعريف جنس قال الشاعر   وَجَدْنا نَهْشَلاً فَضَلَتْ فُقَيْماً  كفَضْلِ ابنِ المَخاضِ على الفصيلِ  ولا يقال في الجمع إلا بناتُ مَخاضٍ وبناتُ لَبونٍ وبناتُ آوى قال الفراء مَخَضْتُ بالدلو إذا نهَزْتُ بها في البئر وأنشد إن لنا قليذما هموما  يزيدها مخض الدلا جموما  ويروى "" مخج الدلا """
مرض,47," المَرَضُ مَرِضَ والمِمْراضُ ومَرَّضْتُهُ تَمْريضاً مَرَضِهِ والتمريضُ والتَمارُضُ المَرَضَ مريضة مريضة 'مرض', المَرَضُ مَرِضَ والمِمْراضُ ومَرَّضْتُهُ تَمْريضاً مَرَضِهِ والتمريضُ والتَمارُضُ المَرَضَ مريضة مريضة 'مرض', المَرَضُ مَرِضَ والمِمْراضُ ومَرَّضْتُهُ تَمْريضاً مَرَضِهِ والتمريضُ والتَمارُضُ المَرَضَ مريضة مريضة 'مرض', المَرَضُ مَرِضَ والمِمْراضُ ومَرَّضْتُهُ تَمْريضاً مَرَضِهِ والتمريضُ والتَمارُضُ المَرَضَ مريضة مريضة",3,no vowel," *مرض* المَرَضُ السُقْمُ وقد مَرِضَ فلان وأَمْرَضَهُ الله قال يعقوب يقال أَمْرَضَ الرجلُ إذا وقع في ماله العاهَةُ والمِمْراضُ الرجلُ المسقامُ ومَرَّضْتُهُ تَمْريضاً إذا قمت عليه في مَرَضِهِ والتمريضُ في الأمر التضجيعُ فيه والتَمارُضُ أن يُري من نفسه المَرَضَ وليس به وشمس [[[[[[[[مريضة]]]]]]]] إذا لم تكن صافية وعين [[[[[[[[مريضة]]]]]]]] فيها فتور _________  في اللسان "" قال جرير ونسبه ابن برى للفرزدق في أماليه "" وأمْرَضَ الرجلُ أي قارب الإصابة في الرأي قال الشاعر   ولَكِنْ تحت ذاكَ الشَيْبِ حَزْمٌ  إذا ما ظَنَّ أَمْرَضَ أو أصابا"
