Root,No of derevatives found,derevatives found,Root Length,Has Vowel,Full Text
  نزر ,12, النَزْرَ نزر ينزر نزارة مَنْزورٌ يُنْزَر والنَزورُ نزور ونزار نزار تنزر بالنزارية,6,no vowel,   *  [نزر] *    النَزْرَ القليلُ التافهُ وقد [نزر] الشئ بالضم [ينزر] [نزارة] وعطاءٌ مَنْزورٌ أي قليلٌ وقولهم فلان لا يُعطي حتَّى [يُنْزَر] أي يُلَحُّ عليه ويصغَّر من قدره والنَزورُ المرأةُ القليلةُ الوَلَدِ وقال   بُغاثُ الطَيْرِ أكْثَرُها فِراخاً      وأم الصقر مقلات [نزور] - [ونزار] أبو قبيلة وهو [نزار] بن معد بن عدنان يقال [تنزر] الرجل إذا تشبه [بالنزارية] أو أدخل نفسه فيهم
  نسر ,44, النَسْرُ نسورُ النَسْرُ ونسر نسر النَسْرُ نسورُ النَسْرُ ونسر نسر النَسْرُ نسورُ النَسْرُ ونسر نسر النَسْرُ نسورُ النَسْرُ ونسر نسر النَسْرُ نسورُ النَسْرُ ونسر نسر النَسْرُ نسورُ النَسْرُ ونسر نسر النَسْرُ نسورُ النَسْرُ ونسر نسر النَسْرُ نسورُ النَسْرُ ونسر نسر النَسْرُ نسورُ النَسْرُ ونسر,6,no vowel,"   *  [[[[[[[[نسر]]]]]]]] *    النَسْرُ طائرٌ وجمع القلَّة أَنْسُرٌ والكثير نسورُ ويقال النَسْرُ لا مخلب له وإنَّما له ظفرٌ كظفر الدجاجةِ والغرابِ والرَخَمَةِ [[[[[[[[[ونسر]]]]]]]]] صنم كان لذى الكلاع بأرض حمير كان يغوث لمذحج ويعوق لهمدان من أصنام قوم نوح عليه السلام قال الله تعالى ولا يغوث ويعقوق ونسرا      وقد تدخل فيه _________  عباس بن مرداس الالف واللام قال الشاعر   أما ودماءٍ مائِراتٍ تَخالُها      على قُنَّةِ العزى وبالنسر عندما  - والنَسْرُ أيضاً لحمةٌ يابسة في بطن الحافر كأنَّها نواةٌ أو حصاة والناسورُ بالسين والصاد جميعاً عِلَّةٌ تحدث في مآقي العين يَسْقي فلا ينقطع وقد يحدث أيضاً في حوالي المَقعَدة وفي اللِثَة وهو معرب وفى النجو م النسر الطائر والنسْرُ الواقع والنَسْرُ نتف البازي اللحمَ بمِنْسَرِهِ وقد نَسَرَهُ يَنْسِرُهُ نسرا والمنسر بكسر الميم لسباع الطير بمنزلة المنقار لغيرها والمِنْسَرُ أيضاً قطعة من الجيش تمرُّ أمام الجيش الكبير قال لبيد يرثي قتلى هَوازن سَمالَهَمُ ابنُ الجَعْدِ حتَّى أصابَهمْ      بذي لَجَبٍ كالطَّوْدِ ليس بمنسر _________  هو عمرو بن عبد الجن التنوخى راجع معجم الشعراء للمرزباني ص  وقد غلط من نسبه للاخطل  بعده وما سبح الرهبانُ في كل بِيعَةٍ      أَبِيلَ الابيلين المسيح بن مريما - لقد ذاق منا عامِرٌ يومَ لَعْلَعٍ      حساما إذا ماهز بالكف صمما - والمنسر بفتح الميم وكسر السين مثال المجلس لغة فيه واستنسر البغاث إذا صار كالنسْرِ وفي المثل "" إنَّ البغاثَ بأرضنا يَسْتَنْسِرُ "" أي أنَّ الضعيف يصير قويًّا والناسور العرق الغبر الذى لا ينقطع والنسار بكسر النون ماء لبنى عامر ومنه يوم النسار لبنى أسد وذبيان على بنى جشم بن معاوية قال بشر بن أبي خازم فلمَّا رَأَوْنا بالنِسارِ كأنَّنا      نَشاصُ الثريا هيجته  جنوبها -"
نشر,35," النَشْرُ 'نشر', النَشْرُ 'نشر', النَشْرُ 'نشر', النَشْرُ 'نشر', النَشْرُ 'نشر', النَشْرُ 'نشر', النَشْرُ 'نشر', النَشْرُ 'نشر', النَشْرُ 'نشر', النَشْرُ 'نشر', النَشْرُ 'نشر', النَشْرُ 'نشر', النَشْرُ 'نشر', النَشْرُ 'نشر', النَشْرُ 'نشر', النَشْرُ 'نشر', النَشْرُ 'نشر', النَشْرُ",3,no vowel," *نشر* النَشْرُ الرائحة الطيِّبة قال الشاعر   وريحَ الخُزامى ونَشْرَ القُطُرْ       والنشر أيضا الكأ إذا يبس ثم أصابه مطر في دُبُر الصيف فاخضر وهو ردئ للراعية يهرب الناس منه بأموالهم وقد نَشَرَتِ الأرضُ فهي ناشِرَةٌ إذا أنبتت ذلك قال الشاعر   _________  في المفضليات "" هيجتها "" ونشاص الثريا ما ارتفع من السحاب بنوئها  امرؤ القيس  صدره كأن المدام وصوب الغمام  هو عمير بن حباب وفينا وإنْ قيلَ اصطلحنا تَضاغُنٌ      كما طَرَّ أوبارُ الجِرابِ على النَشْرِ - يقول ظاهرنا حسنٌ في الصلح وقلوبنا فاسدة كما ينبت على النَشْرِ أوبار الجَرْبى وتحته داءٌ في أجوافها منه والنَشَرُ بالتحريك المنتشر وفى الحديث "" أتملك نشر الماء "" ويقال رأيت القوم نشرا أي منتَشِرينَ واكتسى البازي ريشاً نَشَراً أي منتشراً طويلاً والنَشَرُ أيضاً أن تَنْتَشِرَ الغنم بالليل فترعى والنَشْوارُ أيضاً ما تبقيه الدابة من العلف فارسي معرب والناشِرَةُ واحدة النَواشِرِ وهي عُروقُ باطن الذراع وناشرة اسم رجل وقال لقد عيل الأَيْتامَ طَعْنَةُ ناشِرَهُ      أناشِرَ لا زالت يمينك آشره  - ونشر المتاع وغيره يَنْشُرُهُ نَشْراً بسطه ومنه ريحٌ نَشورٌ ورِياحٌ نُشُرٌ ونَشَرَ الميِّتُ يَنْشُرُ نُشوراً أي عاش بعد الموت قال الاعشى _________  أراد يا ناشرة فرخم وفتح الراء وقيل إنما أراد طعنة ناشر وهو اسم رجل فالحق الهاء للتصريع حتى يقول الناسُ ممَّا رأوْا      يا عَجَباً للميِّتِ الناشِرِ - ومنه يوم النُشور وأنشرهم الله أي أحياهم ومنه قرأ ابن عباس رضي الله عنه كيف ننشرها      واحتج بقوله تعالى ثم إذا شاء أنشره      وقرأ الحسن ننشرها      قال الفراء ذهب إلى النشر والطى قال والوجه أن يقول أنشرهم الله فنشرواهم وأنشد الأصمعيّ لأبي ذؤيب لو كان مدحة حى أنشرت أحدا      أحياء أبُوَّتكِ الشُمَّ الأماديحُ - ونَشَرْتُ الخشبة أنْشُرُها إذا قطعتها بالمِنْشارِ والنُشارَةُ ما سقط منه ونَشَرْتُ الخبر أنْشُرُهُ وأنْشِرُهُ إذا أذعته وصحفٌ منَشَّرَةٌ شدِّد للكثرة والتَنْشيرُ من النشرة وهى كالتعويذ والرقية قال الكلابي "" فإذا نشر المسفوع كان كأنما أنشط من عقال  "" أي يذهب عنه سريعا وفى الحديث أنه قال "" فلعل طبا أصابه "" يعنى سحرا ثم نشره بقل أعوذ برب الناس أي رقاه وكذلك إذا كتب له النشرة _________  رسمت في المطبوعة الاولى على أنها شعر وإنما هو كلام منثور انظر اللسان   س  وانتشر الخبر أي ذاع وانْتَشَرَ الرجل أنعظ والانْتِشارُ الانتفاخ في عصب الدابَّة وقد يكون ذلك من التعب والعَصَبَةُ التي تَنْتَشِرُ هي العجاية "
نصر,146," نَصَرَهُ يَنْصُرُهُ نَصْراً النُصْرَةُ والنَصيرُ الناصر الانصار الناصر نصر واستنصره يَنْصُرَهُ وتَناصَروا نَصَرَ ونَصَرَ ونُصِرَتِ مَنْصورَةٌ وانْصُري وانْتَصَرَ ونصر نصر 'نصر', نَصَرَهُ يَنْصُرُهُ نَصْراً النُصْرَةُ والنَصيرُ الناصر الانصار الناصر نصر واستنصره يَنْصُرَهُ وتَناصَروا نَصَرَ ونَصَرَ ونُصِرَتِ مَنْصورَةٌ وانْصُري وانْتَصَرَ ونصر نصر 'نصر', نَصَرَهُ يَنْصُرُهُ نَصْراً النُصْرَةُ والنَصيرُ الناصر الانصار الناصر نصر واستنصره يَنْصُرَهُ وتَناصَروا نَصَرَ ونَصَرَ ونُصِرَتِ مَنْصورَةٌ وانْصُري وانْتَصَرَ ونصر نصر 'نصر', نَصَرَهُ يَنْصُرُهُ نَصْراً النُصْرَةُ والنَصيرُ الناصر الانصار الناصر نصر واستنصره يَنْصُرَهُ وتَناصَروا نَصَرَ ونَصَرَ ونُصِرَتِ مَنْصورَةٌ وانْصُري وانْتَصَرَ ونصر نصر 'نصر', نَصَرَهُ يَنْصُرُهُ نَصْراً النُصْرَةُ والنَصيرُ الناصر الانصار الناصر نصر واستنصره يَنْصُرَهُ وتَناصَروا نَصَرَ ونَصَرَ ونُصِرَتِ مَنْصورَةٌ وانْصُري وانْتَصَرَ ونصر نصر 'نصر', نَصَرَهُ يَنْصُرُهُ نَصْراً النُصْرَةُ والنَصيرُ الناصر الانصار الناصر نصر واستنصره يَنْصُرَهُ وتَناصَروا نَصَرَ ونَصَرَ ونُصِرَتِ مَنْصورَةٌ وانْصُري وانْتَصَرَ ونصر نصر 'نصر', نَصَرَهُ يَنْصُرُهُ نَصْراً النُصْرَةُ والنَصيرُ الناصر الانصار الناصر نصر واستنصره يَنْصُرَهُ وتَناصَروا نَصَرَ ونَصَرَ ونُصِرَتِ مَنْصورَةٌ وانْصُري وانْتَصَرَ ونصر نصر",3,no vowel," *[[[[[[[[[[[[[[نصر]]]]]]]]]]]]]]* [نَصَرَ]هُ الله على عدوِّه يَنْصُرُهُ نَصْراً والاسم النُصْرَةُ والنَصيرُ [[[[[[[[[[[[[[الناصر]]]]]]]]]]]]]] والجمع [[[[[[[الانصار]]]]]]] مثل شريف وأشراف وجمع [[[[[[[[[[[[[[الناصر]]]]]]]]]]]]]] [[[[[[[[[[[[[[نصر]]]]]]]]]]]]]] مثل صاحب وصحب [[[[[[[واستنصره]]]]]]] على عدوه أي سأله أن يَنْصُرَهُ عليه [[[[[[[وتَناصَروا]]]]]]] نَصَرَ بعضُهم بعضاً ونَصَرَ الغيث الأرضَ أي غاثَها ونُصِرَتِ الأرضُ فهي مَنْصورَةٌ أي مطرتْ وقال يخاطب خيلاً   إذا دَخَلَ الشهرُ الحرامُ فَجاوِزي       بلادَ تميمٍ [[[[[[[وانْصُري]]]]]]] أرضَ عامرِ - وانْتَصَرَ منه انتقم [[[[[[[ونصر]]]]]]] أبو قبيلة من بنى أسد      وهو [[[[[[[[[[[[[[نصر]]]]]]]]]]]]]] ابن قعين قال الشاعر   _________  في المطبوعة الاولى "" العجاجة "" صوابه في اللسان  أي الراعى  في اللسان "" فودعي ""  أوس بن حجر شأتك قعين غثها وسمينها      وأنت السه السفلى إذا دعيت [[نصر]]  - والنَصْرُ العطاءُ قال رؤبة إنِّي وأسْطارٍ سُطِرْنَ سَطرا      لَقائلٌ يا نَصْرُ نَصْراً نَصرا - والنَصارى جمع نَصرانٍ ونَصْرانةٍ مثل الندامى جمع ندمان وندمانة قال الشاعر   فكلتاهما خرت وأسجد رأسها      كما أسجدت نصرانة لم تحنف - ولكن لم يستعمل نَصْرانٌ إلا بياء النسب لأنَّهم قالوا رجلٌ نَصْرانيٌّ وامرأةٌ نَصرانيَّةٌ ونَصَّرَهُ جعله نَصْرانِيًّا وفي الحديث "" فأبواه يهودانه وينصرانه """
نضر,31," النَضْرُ والنُضارُ النَضيرُ 'نضر', النَضْرُ والنُضارُ النَضيرُ 'نضر', النَضْرُ والنُضارُ النَضيرُ 'نضر', النَضْرُ والنُضارُ النَضيرُ 'نضر', النَضْرُ والنُضارُ النَضيرُ 'نضر', النَضْرُ والنُضارُ النَضيرُ 'نضر', النَضْرُ والنُضارُ النَضيرُ 'نضر', النَضْرُ والنُضارُ النَضيرُ",3,no vowel," *نضر* النَضْرُ الذهبُ ويجمع على أَنْضُرٍ قال الكميت ترى السابحَ الخِنْذيذَ منها كأنَّما      جَرى بين لِيتَيْهِ إلى الخَدِّ أَنْضُرُ - والنُضارُ الذهبُ وكذلك النَضيرُ قال الأعشى _________  شأتك سبقتك وفى المطبوعة الاولى "" شأنك "" تحريف وقبل البيت عددت رجالا من قعين تفجسا      فما ابن لبينى والتفجس والفخر -  أبوالاخزر الحمانى  - صحاح -  إذا جُرِّدَتْ يوماً حَسِبْتَ خَميصَةً      عليها وجِريالَ النَضيرِ الدُلامِصا - ويقال النضار الخالص من كل شئ قال الشاعر   الخالِطينَ نَحِيتَهُمْ بِنُضارِهِمْ      وذَوي الغِنى منهم بِذي الفَقْرِ - وقَدحٌ نُضارٌ يتَّخذ من أثْلٍ يكون بالغورِ وَرْسِيُّ اللونِ يضاف ولا يضاف وبنو النضير حى من يهود خيبر وقد دخلوا في العرب وهم على نسبهم إلى هارون أخى موسى عليهما السلام والنضرة الحسن والرونق وقد نَضَرَ وجهه يَنْضُرُ نَضْرَةً أي حَسُنَ ونَضَرَ الله وجهه يتعدَّى ولا يتعدَّى ويقال نَضُرَ بالضم نَضارَةً وفيه لغةٌ ثالثة نضر بالكسر حكاها أبو عبيد ويقال نضر الله وجهه بالتشديد وأَنْضَرَ الله وجهه بمعنًى وإذا قلت نَضَّرَ الله امْرَأً تعني نَعَّمَهُ وفي الحديث "" نَضَّرَ الله امرأً سَمِعَ مقالتي فَوَعاها "" وقولهم "" أخْضَرُ ناضِرٌ إنَّما هو كقولهم أصفرُ فاقعٌ وأبيضُ ناصع _________  الخرنق بنت هفان والنضر أبو قريش وهو النضر بن كنانة ابن خزيمة بن مدركة بن الياس بن مضر"
نظر,0,,3,no vowel, *نظر* الناطر والناطور حافظ الكرم والجمع النواطير والناطرون موضع بناحية الشام والقول في إعرابه كالقول في نصيبين وينشد هذا البيت بكسر النون ولها بالناطرون إذا      أكل النمل الذى جمعا  -
نظر,80," النظر النَظَرانُ نَظَرْتُ والنظر الانتظار ونَظَرٌ تَنْظُرُ تَناظَرُ 'نظر', النظر النَظَرانُ نَظَرْتُ والنظر الانتظار ونَظَرٌ تَنْظُرُ تَناظَرُ 'نظر', النظر النَظَرانُ نَظَرْتُ والنظر الانتظار ونَظَرٌ تَنْظُرُ تَناظَرُ 'نظر', النظر النَظَرانُ نَظَرْتُ والنظر الانتظار ونَظَرٌ تَنْظُرُ تَناظَرُ 'نظر', النظر النَظَرانُ نَظَرْتُ والنظر الانتظار ونَظَرٌ تَنْظُرُ تَناظَرُ 'نظر', النظر النَظَرانُ نَظَرْتُ والنظر الانتظار ونَظَرٌ تَنْظُرُ تَناظَرُ 'نظر', النظر النَظَرانُ نَظَرْتُ والنظر الانتظار ونَظَرٌ تَنْظُرُ تَناظَرُ 'نظر', النظر النَظَرانُ نَظَرْتُ والنظر الانتظار ونَظَرٌ تَنْظُرُ تَناظَرُ 'نظر', النظر النَظَرانُ نَظَرْتُ والنظر الانتظار ونَظَرٌ تَنْظُرُ تَناظَرُ",3,no vowel," *نظر* [[[[[[[[[النظر]]]]]]]]] تأمل الشئ بالعين وكذلك النَظَرانُ بالتحريك وقد نَظَرْتُ إلى الشئ [[[[[[[[[والنظر]]]]]]]]] [[[[[[[[[الانتظار]]]]]]]]] ويقال حَيٌّ حِلالٌ ونَظَرٌ أي متجاورون يرى بعضهم بعضاً وداري تَنْظُرُ إلى دار فلان ودورنا تَناظَرُ أي تقابل _________  البيت لابي دهبل الجمحى كما نسبه الجاحظ في الحيوان   والصحيح أنه ليزيد بن معاوية يتغزل في نصرانية راهبة انظر حواشى الحيوان وبعده خرفة حتى إذا ارتبعت      سكنت من جلق بيعا - وإذا أخذت في طريق كذا فنَظَرَ إليك الجبل فخُذْ عن يمينه أو يساره ونَظَرَ الدهرُ إلى بني فلان فأهلكهم والنَظْرَةُ عينُ الجِنِّ ورجلٌ فيه نَظْرَةٌ أي شحوبٌ والناظِرُ في المقلة السوادُ الأصغر  الذي فيه إنسانُ العين ويقال للعين الناظِرَةُ والناظِرانِ عِرقانِ في مجرى الدمع على الأنف من جانبيه عن يعقوب وأنشد لجرير وأشفى من تخلج كل جن      وأكوى الناظرين من الخنان - وقال آخر   قليلة لحم الناظرين يَزينُها      شبابٌ ومَخْفوضٌ من العيشِ بارد - والناظر الحافظ والنظرة بكسر الظاء التأخير وأَنْظَرْتُهُ أي أخَّرتُهُ واسْتَنْظَرَهُ أي استمهله وتَنَظَّرَهُ أي انْتَظَرَهُ في مهلة وقولهم نظار مثل قطام أي انتظره وناظره من المناظرة _________  في المطبوعة الاولى "" الاصفر "" بالفاء صوابه في اللسان  عتيبة بن مرداس ويعرف بابن فوة والمنظرة المرقبة ويقال مَنْظَرُهُ خيرٌ من مَخبره ورجلٌ مَنْظَرانيٌّ مخبرانيٌّ وامرأةٌُ حسنةُ المَنْظَرِ والمَنْظَرَةَ أيضاً والنَظَّارَةُ القومُ ينظرون إلى الشئ وبنو النظار   قوم من عكل وإبل نظارية منسوبة إليهم قال الراجز يتبعن نظارية سعوما      السعم ضرب من سير الابل وامرأة نظرنة سمعنة  يفسر في باب العين ونظير الشئ مثله وحكى أبو عبيدة النِظْرُ والنَظيرُ بمعنًى واحد مثل الندّ والنديد وأنشد   ألا هل أتى نِظْري مُلَيْكَةَ أَنَّني      أنا اللَّيْثُ مَعْدُوًّا عليه وعادِيا - قال الفراء يقال فلان نظيرة  قومه ونَظورَةُ قومه للذي يُنظر إليه منهم ويجمعان على نظائر ومنظور بن سيار رجل"
نعر,39," النعرة 'نعر', النعرة 'نعر', النعرة 'نعر', النعرة 'نعر', النعرة 'نعر', النعرة 'نعر', النعرة 'نعر', النعرة 'نعر', النعرة 'نعر', النعرة 'نعر', النعرة 'نعر', النعرة 'نعر', النعرة 'نعر', النعرة 'نعر', النعرة 'نعر', النعرة 'نعر', النعرة 'نعر', النعرة 'نعر', النعرة 'نعر', النعرة",3,no vowel," *نعر* [[[[[[[[[[[[[[[[[[[[النعرة]]]]]]]]]]]]]]]]]]]] مثل الهمزة ذباب ضخم أزرق _________  في المطبوعة الاولى "" النظارة "" صوابه من اللسان والقاموس  كقرشبة وطرطبة وبكسر الفاء واللام كما يقال سمعنة كخروعة بتخفيف النون  لعبد يغوث بن وقاص الحارثى  في المصبوعة الاولى "" نظرة "" صوابه من اللسان العين أخضرُ وله إبرةٌ في طرف ذَنَبه يلسع بها ذوات الحافر خاصة قال ابن مقبل ترى النعرات الخضر حول لبانه      أحاد ومثنى أصعقتها صواهله - وربما دخل في أنف الحمار فيركب رأسه ولا يرده شئ تقول منه نعر الحمار بالكسر يَنْعَرُ نَعَراً فهو حمارٌ نَعِرٌ وأتانٌ نَعِرَةٌ قال الشاعر   فظل يرنح في غيطل      كما يستديرُ الحمارُ النَعِرُ - وقال أبو عمرو النَعِرُ الذي لا يثبت في مكان وأمَّا قول العجاج والشَدَنِيَّاتُ يُساقِطْنَ النُعَرْ      فيريد به الأجِنَّةَ شبَّهها بذلك الذباب يقال للمرأة ولكلِّ أنثى ما حملتْ نُعَرَةً قطّ أي ما حملتْ ملقوحاً قال الأصمعيّ قولهم وإنَّ في رأسه لنُعَرَةً أي كِبْراً وقال الأمويُّ إنَّ في رأسه نَعَرَةً بالفتح أي أمراً يهم به وحكى ذلك عنه أبو عبيد ونعر العرق ينعر بالفتح فيهما نَعْراً أي فار منه الدم فهو عِرقٌ نَعَّارٌ ونعور قال الشاعر _________  امرؤ القيس صرت نظرة لو صادفتْ جَوْزَ دارِعٍ      غَدا والعَواصي من دَمِ الجوفِ تَنعرُ - وقال الراجز   ضرب دراك وطعان ينعر       ويروى "" ينعر "" وقال رؤبة   وبج كل عاند نعور       والنعرة صوت في الخيشوم قال الراجز إنى ورب الكعبة المستوره      والنعرات من أبى مخدوره - يعنى أذانه وقد نَعَرَ الرجل يَنْعَرُ نعيراً يقال ما كانت فتنةٌ إلا نَعَرَ فيها فلان أي نهض فيها وإنَّ فلاناً لنَعَّارٌ في الفتن إذا كان سَعَّاءً فيها والناعورُ واحد النواعير التي يُستقى بها يديرها الماء ولها صوتٌ ونَعَرَ فلان في البلاد أي ذهب وفلانٌ نَعيرُ الهَمِّ أي بعيده _________  هو جندل بن المثنى  قبله رأيت نيران الحروب تسعر      منهم إذا ما لبس السور -  قال ابن برى هو لابيه العجاج  وبعده قضب الطبيب نائط المصفور وأَنْعَرَ الأراكُ أي أثمرَ وذلك إذا صار ثمره بمقدار النُعَرَةِ"
نغر,10, النغرة النغر نُغَرٌ النغير نغران ونغر نَغِرَةٍ ونغرت يَتَنَغَّرُ مِنْغارٌ,3,no vowel," *نغر* [النغرة] مثال الهمزة واحدة [النغر] وهى طيرٌ كالعصافير حُمْرُ المناقير قال الراجز عَلِقَ حَوْضي نُغَرٌ مُكِبُّ      إذا غَفَلْتُ غَفْلَةً يَعُبُّ      وحُمَّراتٌ شُرْبُهُنَّ غِبُّ      وبتصغيره جاء الحديث "" يا أبا عُمَيْرِ ما فعل [النغير] "" والجمع [نغران] مثل صرد وصردان [ونغر] الرجل بالكسر أي اغتاظ قال الأصمعيّ هو الذي يغلي جوفُه من الغيظ وفي حديث علي رضي الله عنه أنَّ امرأة جاءته فذكرت أنَّ زوجها يأتي جاريتَها فقال إن كنتِ صادقةً رجمناه وإن كنتِ كاذبةً جَلَدْناكِ فقالت ردُّوني إلى أهلي غَيْرى نَغِرَةٍ [ونغرت] القدر أيضا غلبت ابن السكيت يقال ظلَّ فلان يَتَنَغَّرُ على فلان أي يتذمر عليه وأنغرت الشاة لغةٌ في أمْغَرَتْ وشاةٌ مِنْغارٌ مثل ممغار"
نفر,69," نَفَرَتِ تَنْفِرُ وتَنْفُرُ نِفاراً ونُفوراً نفار 'نفر', نَفَرَتِ تَنْفِرُ وتَنْفُرُ نِفاراً ونُفوراً نفار 'نفر', نَفَرَتِ تَنْفِرُ وتَنْفُرُ نِفاراً ونُفوراً نفار 'نفر', نَفَرَتِ تَنْفِرُ وتَنْفُرُ نِفاراً ونُفوراً نفار 'نفر', نَفَرَتِ تَنْفِرُ وتَنْفُرُ نِفاراً ونُفوراً نفار 'نفر', نَفَرَتِ تَنْفِرُ وتَنْفُرُ نِفاراً ونُفوراً نفار 'نفر', نَفَرَتِ تَنْفِرُ وتَنْفُرُ نِفاراً ونُفوراً نفار 'نفر', نَفَرَتِ تَنْفِرُ وتَنْفُرُ نِفاراً ونُفوراً نفار 'نفر', نَفَرَتِ تَنْفِرُ وتَنْفُرُ نِفاراً ونُفوراً نفار 'نفر', نَفَرَتِ تَنْفِرُ وتَنْفُرُ نِفاراً ونُفوراً نفار",3,no vowel," *نفر* نَفَرَتِ الدابَّةُ تَنْفِرُ وتَنْفُرُ نِفاراً ونُفوراً يقال في الدابَّة [[[[[[[[[[نفار]]]]]]]]]] وهواسم مثل الحران ونَفَرَ الحاجُّ من مِنًى نَفْراً ونَفَرَ القوم في الأمور نُفوراً والنَفيرُ القوم الذين يتقدَّمون فيه يقال جاءت نَفْرَةُ بني فلان ونَفيرُهُمْ أي جماعتهم الذين يَنْفِرونَ في الامر وأنشد أبو عمرو إن لها فوارسا وفرطا      ونفرة الحى ومرعى وسطا      يحمونها من أن تسام الشططا      والانفار عن الشئ والتَنْفيرُ عنه والاسْتِنْفارُ كله بمعنًى والاستنفار أيضا النفور وقال الشاعر ازجر  حمارك إنه مستنفر      في إثر أحمرة عمدن لغرب - ومنه ""      حمر مُسْتَنْفِرَة      أي نافِرَةٌ و      مُسْتَنْفَرَةٌ      بفتح الفاء أي مذعورة والنَفَرُ بالتحريك عدَّة رجال من ثلاثة إلى عشرة والنَفيرُ مثله وكذلك النَفْرُ والنَفْرَةُ بالإسكان قال الفراء نَفْرَةُ الرجل ونَفْرُهُ أي رهطه قال امرو القيس يصف رجلا بجودة الرمى فهو لا تنمى رميته      ماله لا عد من نفره - _________  في اللسان "" اربط "" فدعا عليه وهو يمدحه وهذا كقولك لرجل يعجبك فعله ماله قاتله الله أخزاه الله وأنت تريد غير معنى الدعاء عليه ويقال يومُ النَفْرِ وليلةُ النَفْرِ لليوم الذي يَنْفِرُ فيه الناس من مِنًى وهو بعد يوم القَرِّ وأنشد وهل يَأْثَمَنِّي الله في أَنْ ذَكَرْتُها      وعَلَّلْتُ أَصحابي بها ليلة النفر  - ويروى "" يأثمنى "" بالضم الثاء ويقال له أيضاً يوم النَفَرِ بالتحريك ويوم النفور ويوم النفير عن يعقوب والمنافرة المحاكمة في الحسب يقال _________  قال نصيب الاسود وليس بنصيب لاسود المروانى ولا بنصيب الابيض الهاشمي أما والذى نادى من الطور عبده      وعلم آيات الذبائح والنحر - لقد زادني للجفر حبا وأهله      ليال أقامتهن ليلى على الجفر - فهل يأثمنى  وطيرت مابى نعاس ومن كرى      وما بالمطايا من كلال ومن فتر - قوله "" يأثمنى "" أي يلحقني عقاب الاثم ويروى "" يأثمنى "" وهو "" يؤثمنى "" و "" يمقتني "" نافره فنفره ينفره بالضم لاغير أي غلبه قال الأعشى يمدح عامر بن الطُفَيْل ويحمِل على علقمة ابن علاثة قد قلتُ شِعْري فمَضى فيكُما      واعْتَرَفَ المنفورُ للنافِرِ - فالمنفورُ المغلوبُ والنافِرُ الغالبُ ونَفَّرَهُ عليه تَنْفيراً أي قضى له عليه بالغلبة وكذلك أَنْفَرَهُ وقولهم لقيته قبل كلِّ صَيْحٍ ونَفْرٍ أي أولا وقد مر باب الحاء ونفر جلده أي وروم وفى الحديث "" تخلل رجل بالقصب فَنَفَرَ فَمُهُ "" أي ورم قال أبو عبيد إنَّما هو من [نفار] الشئ من الشئ وهو تجافيه عنه وتباعده منه وقولهم نفرعنه أي لقبه لَقَباً كأنَّه عندهم تَنْفيرٌ للجنّ والعين عنه وقال أعرابيٌّ لمَّا وُلِدْتُ قيل لأبي نَفِّرْ عنه فسمَّاني قُنْفُذاً وكنَّاني أبا العَدَّاءِ والنفريت إتباع للغريت وتوكيد"
