Root,No of derevatives found,derevatives found,Root Length,Has Vowel,Full Text
لحد,13," ولَحَدَ 'لحد', ولَحَدَ 'لحد', ولَحَدَ 'لحد', ولَحَدَ 'لحد', ولَحَدَ 'لحد', ولَحَدَ 'لحد', ولَحَدَ",3,no vowel,   *لحد*  ألْحَدَ في دين الله أي حاد عنه وعَدَلَ ولَحَدَ لغةٌ فيه وقرئَ لِسانُ الذي يَلْحَدونَ إليه   والْتَحَدَ مثله وألْحَدَ الرجل أي ظلم في الحرم وأصله من قوله تعالى ومن يُرِدْ فيه بإلْحادٍ بظُلْمٍ   أي إلحاد بظلم والباء فيه زائدة قال حُمَيْد ابن ثور   قَدْنِيَ من نَصْرِ الخُبَيْبَيْنِ قَدي   ليسَ الإمامُ بالشَحيحِ المُلْحِدِ  - أي الجائر بمكة واللَحْدُ بالتسكين الشقّ في جانب القبر _________  صوابه حميد بن مالك بن ربعى راجع السمط ص   الرجز قلت لعنسي وهى عجلى تعتدى   لا نوم حتى تحسرى وتلهدى   أو تردى حوض أبى محمد   ليس الامام بالشحيح الملحد   ولا بوبر بالحجاز مقرد   إن ير يوما بالفضاء يصطد   أو ينجحر فالجحر شر محكد   المحكد الاصل والوبر دويبة أصغر من السنور طحلاء اللون حسنة العينين لا ذنب لها تدجن في البيوت والمقرد اللاصق بالارض من فزع أو ذل واللحد بالضم لغة فيه تقول لَحَدْتُ للقبر لَحْداً وألْحَدْتُ له أيضاً فهو مُلْحَدٌ والملتحد المجأ لان اللاجئ يميل إليه
 لدد,50," اللديدانِ الوادي اللَدودُ اللدود لُدَّ ملدودٌ والْتَدَّ والتَدَدْتُ واللديدُ اللدودِ واللديدانِ يتلَدَّدُ اللَدَدِ لد ولد واللد لدد', اللديدانِ الوادي اللَدودُ اللدود لُدَّ ملدودٌ والْتَدَّ والتَدَدْتُ واللديدُ اللدودِ واللديدانِ يتلَدَّدُ اللَدَدِ لد ولد واللد لدد', اللديدانِ الوادي اللَدودُ اللدود لُدَّ ملدودٌ والْتَدَّ والتَدَدْتُ واللديدُ اللدودِ واللديدانِ يتلَدَّدُ اللَدَدِ لد ولد واللد",4,no vowel,"  * لدد*  الأصمعيّ اللديدانِ جانبا [[[الوادي]]] قال ومنه أخِذ اللَدودُ وهو ما يُصبُّ من الأدوية في أحد شِقَّي الفم قال ابن السكيت يقال في المثل "" جرى منه مجرى [[[اللدود]]] "" وجمع ألدة وقد لُدَّ الرجل فهو ملدودٌ وألْدَدْتُهُ أنا والْتَدَّ هو قال ابن أحمر شرِبت الشكاعى والتَدَدْتُ ألِدَّةً   وأقْبَلْتُ أفْواهَ العُروقِ المَكاوِيا - واللديدُ مثل [[[اللدود]]]ِ واللديدانِ صفحتا العنق وجمعه أَلِدَّةٌ ومنه اشتقاقُ قولهم فلانٌ يتلَدَّدُ أي يلتفت يميناً وشمالاً ورجلٌ أَلَدُّ بيِّن اللَدَدِ وهو الشديد الخصومة وقومٌ [[[لد]]] [[[ولد]]] أيضا موضع بالشام [[[واللد]]] بالفتح الجوالق وقال الراجز كأنَّ [[لد]]َّيْهِ على صَفْح جَبَلْ   ولَدَّهُ يَلُدُّهُ خَصَمَهُ فهو لاد ولدود قال الراجز ألد أقْرانَ الخُصوم اللَدِّ   يقال ما زلت ألادُّ عنك أي أدفع ورجلٌ يَلَنْدَدٌ وأَلَنْدَدٌ أي خَصِمٌ مثل الأَلَدِ وتصغير ألَنْدَدٍ أُلَيْدٌ   لان أصله ألد فزادوا فيه النون ليلحقوه ببناء سفرجل فلما ذهبت النون عاد إلى أصله وقولهم مالى منه محتد ولا ملتد أي بد"
لسد ,6, لَسَدَ يَلْسِدُها لسدا ولسد لَسِدَ لَسَداً,4,no vowel,   *لسد * لَسَدَ الطلا أُمَّه [يَلْسِدُها] [لسدا] أي رضعها مثلا كسر يكسر كسرا [ولسد] العسل أيضاً لعِقه وحكى أبو حاتم في كتاب الأبواب لَسِدَ الطَلا أُمَّهَ بالكسر لَسَداً بالتحريك مثل لجذ الكلب الاناء لجذا
  لغد,23," اللُغْدودُ اللَغاديدِ واللُغْدُ ولَغَدْتُ ملتغدا لغد', اللُغْدودُ اللَغاديدِ واللُغْدُ ولَغَدْتُ ملتغدا لغد', اللُغْدودُ اللَغاديدِ واللُغْدُ ولَغَدْتُ ملتغدا لغد', اللُغْدودُ اللَغاديدِ واللُغْدُ ولَغَدْتُ ملتغدا",5,no vowel," *  لغد*  اللُغْدودُ واحد اللَغاديدِ وهي اللحَمات التي بين الحنك وصفحة العنق واللُغْدُ مثله والجمع ألْغادٌ ولَغَدْتُ الإبلَ العواندَ إذا رَدَدْتَها إلى القصد والطريق وجاء فلانٌ [[[[ملتغدا]]]]   أي متغيظا حنقا _________  بسكون الياء وإدغام الدالين وهو مذهب سيبويه والمبرد يقول "" أليد "" بالفك شرح الشافية    في اللسان "" متلغدا أي متغضبا متغيظا حنقا """
لكد,3, لَكِدَ لَكَداً وتلكد,3,no vowel,   *لكد*  الأصمعي لَكِدَ عليه الوَسَخُ بالكسر لَكَداً أي لزمه ولصق به [وتلكد] الشئ لزم بعضه بعضا والمِلْكَدُ شبه مُدقّ يُدَقّ به
لهد,59," لَهَدَهُ لهد لَهيدا ولَهَدَهُ لَهْداً مَلْهودٌ لَهَّدَهُ مُلَهَّدِ تُلْهِدَ 'لهد', لَهَدَهُ لهد لَهيدا ولَهَدَهُ لَهْداً مَلْهودٌ لَهَّدَهُ مُلَهَّدِ تُلْهِدَ 'لهد', لَهَدَهُ لهد لَهيدا ولَهَدَهُ لَهْداً مَلْهودٌ لَهَّدَهُ مُلَهَّدِ تُلْهِدَ 'لهد', لَهَدَهُ لهد لَهيدا ولَهَدَهُ لَهْداً مَلْهودٌ لَهَّدَهُ مُلَهَّدِ تُلْهِدَ 'لهد', لَهَدَهُ لهد لَهيدا ولَهَدَهُ لَهْداً مَلْهودٌ لَهَّدَهُ مُلَهَّدِ تُلْهِدَ 'لهد', لَهَدَهُ لهد لَهيدا ولَهَدَهُ لَهْداً مَلْهودٌ لَهَّدَهُ مُلَهَّدِ تُلْهِدَ",3,no vowel,"   *[[[[[[لهد]]]]]]*  لَهَدَهُ الحِمْلُ   أي أثقله الاصمعي [[[[[[لهد]]]]]] القوم دوابهم جَهَدوها وأحرثوها قال جرير ولقد تَرَكْتُكَ يا فَرَزْدَقُ خاسئاً   لمَّا كَبَوْتَ لدى الرِهانِ [[[[[[لَهيدا]]]]]] - أي حسيراً ولَهَدَهُ لَهْداً أي دفعه لِذله فهو مَلْهودٌ وكذلك لَهَّدَهُ قال طرفة يذم رجلا بطئ عن الداعي  سَريعٍ إلى الخَنا   ذَلولٍ بإجماعِ الرجالِ مُلَهَّدِ - أي مدفع وإنما شدد لتكثير أبو زيد ألْهَدْتُ به أزْرَيْتُ به أبو عمرو ألْهَدْتُ به إذا أمسكت أحد الرجلين وخلَّيت الآخر عليه وهو يقاتله قال فإن فَطَّنْتَ رجلاً بما صاحِبه يكلِّمه قال والله ما قُلتها إلا أن تُلْهِدَ عليّ أي تعينَ على _________  يقال [[[[لهد]]]] البعير يلهد إذا عض الحمل غاربه وسنامه حتى يؤلمه [[[[لهد]]]] كمنع يلهد لهدا  ويروى "" عن الجلى "" واللهيدة الرخوة من العصائد ليست بحَساءٍ فتحسى ولا بغليظةٍ فتُلقم وهي التي تجاوزُ حدَّ الحريقةِ والسخينةِ وتَقْصُرُ عن العصيدة  فصل الميم "
مأد ,10, المَأْدُ مَأْداً وامْتَأَدَ يَمْأَدُ مَأّداً يمؤود يمؤود يمؤودة ويمؤود بيمؤود,4,vowel,   *مأد * المَأْدُ  من النبات اللَيِّنُ الناعم قال الأصمعيّ قيل لبعض العرب أصِبْ لنا موضعاً فقال رائدهم وجدتُ مكاناً ثَأْداً مَأْداً وامْتَأَدَ فلانٌ خيراً أي كَسَبَهُ ويقال للغصن إذا كان ناعماً يهتزّ هو يَمْأَدُ مَأّداً حسناً وغصن [[يمؤود]] أي ناعم ورجل [[يمؤود]] وامرأة [يمؤودة] شابَّة ناعمة [ويمؤود] موضع قال الشماخ فظلت [بيمؤود] كأن عيونها   إلى الشمس هل تدنو ركى النواكز 
مجد,83," المَجْدُ والمَجيدُ مَجُدَ مجيد وماجد والمجد 'مجد', المَجْدُ والمَجيدُ مَجُدَ مجيد وماجد والمجد 'مجد', المَجْدُ والمَجيدُ مَجُدَ مجيد وماجد والمجد 'مجد', المَجْدُ والمَجيدُ مَجُدَ مجيد وماجد والمجد 'مجد', المَجْدُ والمَجيدُ مَجُدَ مجيد وماجد والمجد 'مجد', المَجْدُ والمَجيدُ مَجُدَ مجيد وماجد والمجد 'مجد', المَجْدُ والمَجيدُ مَجُدَ مجيد وماجد والمجد 'مجد', المَجْدُ والمَجيدُ مَجُدَ مجيد وماجد والمجد 'مجد', المَجْدُ والمَجيدُ مَجُدَ مجيد وماجد والمجد 'مجد', المَجْدُ والمَجيدُ مَجُدَ مجيد وماجد والمجد 'مجد', المَجْدُ والمَجيدُ مَجُدَ مجيد وماجد والمجد 'مجد', المَجْدُ والمَجيدُ مَجُدَ مجيد وماجد والمجد",3,no vowel,"   *مجد*  المَجْدُ الكرم والمَجيدُ الكريم وقد مَجُدَ الرجل بالضم فهو [[[[[[[[[[[[مجيد]]]]]]]]]]]] [[[[[[[[[[[[وماجد]]]]]]]]]]]] قال ابن السكيت الشرف [[[[[[[[[[[[والمجد]]]]]]]]]]]] يكونان _________  في المخطوطة "" وجد بخط الجوهرى في نسخة ركى النواكز "" في ديوانه "" ركى نواكز "" والركى بضم أوله وكسر ثانيه وقيل بفتح أوله وكسر ثانيه جمع ركية وهى البئر والنواكز جمع ناكز وهى التى فنى ماؤها شبه عيون هذه الاتن بعيون ركى قل ماؤها وهذا التشبيه حسن بالآباء يقال رجلٌ شريفٌ ماجدٌ له آباءٌ متقدِّمون في الشرف قال والحسب والكرم يكونان في الرجل وإن لم يكن له آباء لهم شرف وتَماجَدَ القوم فيما بينهم وماجدته فمجدته أمجده أي غلبته بالمجد ومَجَدَت الإبلُ مُجوداً أي نالت من الخلا قريباً من الشِبَع ومَجَّدْتُها أنا تمجيداً وقال أبو عبيد أهل العالية يقولون مجدت الدابة أمجدها مجدا أي علَفْتها مِلء بطنها وأهل نجد يقولون مَجَّدْتها تَمْجيداً أي علَفْتها نِصفَ بطنها والتَمْجيدُ أن يَنْسُبَ الرجل إلى المجد وفي المثل "" في كلِّ شجرٍ نار واسْتَمْجَدَ المَرْخُ والعَفار "" أي استكثرا منها كأنَّهما أخذا من النار ما هو حَسْبُهُما ويقال لأنَّهما يُسرعان الوَرْيَ فَشُبِّها بمن يكثر من العطاء طلبا للمجد وبنومجد أولاد ربيعة بن عامر بن صعصعة ومجد اسم أمهم نسبوا إليها قال لبيد سقى قَوْمي بَني مجدٍ وأُسْقى   نُميراً والقبائل من هلال -   مدد  مددت الشئ فامتد والمادة الزيادة المتّصلة ومَدَّ الله في عمره ومَدَّهُ في غيِّه أي أمهله وطول له والمد السيل يقال مَدَّ النهرُ ومَدَّهُ نهرٌ آخر قال العجاج سيلٌ أتيٌّ مده أتى    مد النهار ارتفاعه ويقال هناك قطعةُ أرضٍ قَدْرُ مَدِّ البصر أي مدى البصر ورجلٌ مَديدُ القامة أي طويل القامة وطِرافٌ  مُمَدَّدٌ أي ممدودٌ بالأطناب شدد للمبالغة وتَمَدَّدَ الرجلُ أي تمطَّى والمُدُّ بالضم مِكيال وهو رِطلٌ وثُلث عند أهل الحجاز ورطلان عند أهل العراق والصاع أربعة أمْدادٍ ومُدَّةٌ من الزمان بُرهة منه والمُدّة أيضاً اسم ما اسْتَمْدَدْتَ به من المِدادِ على القلم والمَدَّةُ بالفتح المرّة الواحدة من قولك مَدَدْتُ الشئ والمدة بالكسر ما يجتمع في الجرح من القيح والمِدادُ النِقْسُ تقول منه مَدَدْتُ الدَواة وأمْدَدْتها أيضاً وأمْدَدْتُ الرجل إذا أعطيته مدة بقلم _________  بعده غب سماء فهو رقراقى  الطراف ككتاب بيت من أدم وأمددت الجيش بِمَدَدٍ والاستِمدادُ طلب المَدَدِ قال أبو زيد مَدَدْنا القومَ أي صرنا مَدَداً لهم وأمدَدْناهم بغيرنا وأمْدَدْناهُمْ بفاكهة وأمَدَّ الجرحُ صارت فيه مِدَّةٌ وأمَدَّ العَرْفَجُ إذا جرى الماء في عوده ومَدَدْتُ الإبل وأمْدَدْتها بمعنًى وهو أن تَنْثُرَ لها على الماء شيئاً من الدقيق ونحوه فتسقيها والاسم المَديد وماءٌ إمِدَّانٌ شديد الملوحة هو إفعلان بكسر الهمزة"
مرد,23," المَرْدُ المَرَد تَمَرَّدَ وتَمريدُ وتَمريدُ 'مرد', المَرْدُ المَرَد تَمَرَّدَ وتَمريدُ وتَمريدُ 'مرد', المَرْدُ المَرَد تَمَرَّدَ وتَمريدُ وتَمريدُ 'مرد', المَرْدُ المَرَد تَمَرَّدَ وتَمريدُ وتَمريدُ",3,no vowel,"   *مرد*  المَرْدُ ثمر الأراك الغضُّ منه ورملة مَرْداءُ   لا نبتَ فيها وغُصن أمْرَدُ لا ورق عليه وفرسٌ أمْرَدُ لا شعر على ثُنَّتِهِ وغلامٌ أمْرَدُ بيِّنُ [[[[المَرَد]]]] بالتحريك ولا يقال جارية مرْداء قال الأصمعي يقال تَمَرَّدَ فلانٌ زماناً ثم خرج وجهه وذلك أن يَبْقى أمْرَدَ حيناً وتَمريدُ البناء تمليسه وتَمريدُ الغصن تجريدة من الورق _________  وجمعها مرادى مخففا سماعا قال الراعى فليتك حال البحر دونك كله   ومن بالمرادى من فصيح وأعجما - ومرد الخبز يَمْرُدُهُ مَرْداً أي ماثَهُ حتَّى يلين والمَريدُ   التمر يُنقع في اللبن حتَّى يلين ومَرَدَ الصبي ثديَ أمِّه مَرْداً والمُرودُ على الشئ المرون عليه والمارد العاتى وقد مَرُدَ الرجل بالضم مَرادَةً فهو مارِدٌ ومَريدٌ والمِرِّيدُ الشديد المرادة مثال الخمير والسكير ومراد أبو قبيلة من اليمن وهو مراد بن مالك بن زيد بن كهلان بن سبأ ويقال كان اسمه يحابر فتمرد فسمى مرادا وهو فعال على هذا القول   والمراد بالفتح العنق ومارد حصن دومة الجندل يقال في المثل "" تمرد مارد وعز الابلق """
مسد ,23, المسد مَسَدٍ والمَسَدُ 'مسد المسد مَسَدٍ والمَسَدُ 'مسد المسد مَسَدٍ والمَسَدُ 'مسد المسد مَسَدٍ والمَسَدُ 'مسد المسد مَسَدٍ والمَسَدُ 'مسد المسد مَسَدٍ والمَسَدُ,4,no vowel,   *مسد * [[[[[[المسد]]]]]] بالتحريك الليف يقال حبل من مَسَدٍ والمَسَدُ أيضاً حبلٌ من ليف أو خوص قال الراجز _________  يقال أيضا بالذال المعجمة  والقول الثاني أن يكون مفعلا من أراد يا مسد الخوص تعوذ منى   إن كنت  لدنا لينا فإنى   ما شئت من أشمط مقسئن   وقد يكون من جلود الإبل أو من أوبارها قال عمارة بن طارق   ومسد أمر من أيانق    ليس بأنياب ولا حقائق - ومسدت الحبل أمسده مسدا أجدت فتله قال رؤبة يمسد أعلى لحمه ويأرمه    يقول إن البقل يقوى ظهر هذا الحمار ويشده ورجل ممسود أي مجدولُ الخَلْقِ وجاريةٌ حَسَنة المَسْدِ والعَصْبِ والجَدْلِ والأَرْمِ وهي مَمْسودَةٌ ومعصوبةٌ ومجدولةٌ ومأرومةٌ والمَسْدُ إدآب السير بالليل والمساد على فعال لغة في المِسابِ وهو نِحْيُ السَمن وسقاء العسل
