Root,No of derevatives found,derevatives found,Root Length,Has Vowel,Full Text
سغم,23,سغم سَغَم يَسْغَمُها سَغْمًا السَّغْم السَّغِمُ والمُسَغَّمُ مُسَغَّم وسُغِّم سَغْمًا والتَّسْغِيمُ سَغَّم تُسَغِّمُهْ سَغَم يَسْغَمُه سَغْمًا وسَغَّم سَغَّمتُ سغَّم سَغَّم سغَّم وسَغَّم والتَّسْغِيمُ,3,no vowel, *[سغم]*	[سغم]    [[سَغَم]]  الرجلُ  جارِيَتَه كَمَنَع   [يَسْغَمُها] [[[سَغْمًا]]] أَهملَه الجوهَرِيّ  وقد  وَجد في بعض نسخ الكتاب هذا  الحَرْفَ على الهامِش  وقال  اللَّحياني أي   جامَعَها  أو هو   أي  [السَّغْم]  أي  لا يُحِبَّ أن يُنْزِل  فيُدْخِلَ  الإِدْخَالَة  ثم يُخْرِج       و  السَّغِمُ  كَكَتِف  السَّيِّئُ  الغِذاء     والمُ[[سَغَّم]]ُ كَمُعَظَّم  الحَسَنُ الغِذاء   كالمُخَرْفَج   والغُلامُ المُمْتَلِئ البَدَن  نِعْمَةً   يقال له  [مُ[[سَغَّم]]] ومُفَنَّق  ومُفَتَّق ومُثَدَّن   وقد أُسغِم [وسُغِّم]  بِضَمّهِما  و  قال ابنُ السِّكّيت في  الأَلْفاظ   رَغْما له دَغْمًا [[[سَغْمًا]]]  تَوْكِيدان لِرَغْمًا  بلا وَاوٍ  جاءوا  به  وقال اللِّحيانيّ بالواو     وَأسْغَمَه  أَبْلَغ إلى قَلْبِه الأَذَى   وبالَغَ في أَذَاه     والتَّسْغِيمُ  التَّجْرِيعُ  يقال  [[سَغَّم]]  الرجلُ إِبِلَه إذا أَطْعَمَها وجَرَّعَها   وقال رُؤْبَةُ    وَيْلٌ له إن لم تُصبْه سِلْتِمُهْ   من جُرَعِ الغَيْظ الذي تُسَغِّمُهْ     ومِمّا يُسْتَدْرَكُ عَلَيْه    [[سَغَم]] الرَّجلَ [يَسْغَمُه] [[[سَغْمًا]]]  بالَغ  في أّذاه  [[وسَغَّم]] الرجلَ  أحسنَ  غِذاءَه  وفي بعض نُسَخِ الصّحاح   سَغَّمتُ الطِّين ماءً  والطَّعامَ دُهْنًا   رَوَّيتهُ وبالَغْت في ذلك  وفي  المُحْكَم  وكَذلِك [[سغَّم]] الزّرعَ  بالماءِ والمِصْباحَ بالزَّيْت  قال كُثَيِّر     أو مصابِيحَ راهِبٍ في يَفاع   [[سَغَّم]] الزَّيتَ ساطِعاتِ الذُّبالِ     أراد [[سغَّم]] بالزَّيْت  أو هو في مَعْنَى  سقّاها    [[وسَغَّم]] فصِيلَه  سَمَّنَه    والتَّسْغِيمُ  التَّربِيَة  عن ابنِ  الأعرابيّ  
سفم,1,سفم,3,no vowel, *[سفم]*	[سفم]    سَيْغَم كَضَيْغَم  أهمله الجوهري   وفي المحكم أنه  د   وهو بالفَاء  
سقم,33,سقم السَّقَامُ السَّقَمُ سَقِم سَقَمًا وسَقامةً وسَقامًا سَقِم سَقِيم سقيم سَقِيمٌ سِقام سُقامٌ سَقامٌ لسَقِيم وسَقْمان والسَّوْقَمُ والسَّقَمُونيا وسَقَّمه تَسْقِيمًا تَسْقِيم والمِسْقام كالسَّقِيم السُّقم مِسْقام سَقِم سَقِيمٌ مُسقِم سَقُم سَقِيم سَقِيم سَقِيم سَقِيم,3,no vowel, *[سقم]*	[سقم]    السَّقَامُ كَسَحاب   ولو خَلاّه   على إطلاقِه كان كافِيًا في الضَّبط    و  السَّقَمُ مثل  جَبَل وقُفْل   قال  الجوهَرِيّ  هما لُغَتان مثل حَزَن  وحُزْن   المَرَض   وقد  [[[سَقِم]]]  كَفَرِح وكَرُم   وعلى الأُولَى اقْتَصَر  الجوهَرِيُّ [سَقَمًا] وسَقامةً [وسَقامًا]    فهو  [[[سَقِم]]] و  [[[[[سَقِيم]]]]]   ومنه قَولُه  تَعالَى حِكايةً عن سَيِّدِنا إِبراهِيم  عليه السّلام     إني [سقيم]     قال  بعضُ المُفَسِّرين  معناه إني  طَعِين  وقيل مَعْناه سأَسْقُم فيما  أستَقْبل إذا حانَ الأَجلُ  وهذا من  مَعارِيض الكَلام  وقيل  إنه استدَلَّ  بالنَّظَر إلى النُّجُوم على وَقْت حُمَّى  كانت تأْتِيه  وقيل  أراد إِنّي [[[[[سَقِيم]]]]]ٌ  من عِبادتِكم غَيرَ اللهِ تعالى  قال  ابنُ الأثير  والصّحيح أنها  إحدى كَذَباته الثّلاث عليه السلام   وكلها كانت من ذَاتِ اللهِ تعالى  ومُكابَدَةً عن دِينِهِ       ج  [سِقام]  كَكِتاب   قال  سيبويه  جاؤا به على فِعال  قال  ابنُ سِيدَه  يذهب سِيبَوَيْه إلى  الإشعار بأنه كُسِّر تَكْسِير فاعِل     و  سُقامٌ  كَغُراب   اسمُ   وادٍ  بالحِجاز لهُذَيْل  قال أبو  خِراش الهُذَلِيّ     أمسى سَقامٌ خَلاءٌ لا أنِيسَ به   إلا السِّباعُ ومَرُّ الرّيح بالغَرَفِ     وسقط من نُسخَةِ شَيْخِنا الواو   فظَنّ أن قولَه  كغُراب مَعْطوف على  ما قَبْلَه  فجَعَله جَمْعًا [لسَقِيم] من نَظَائِر  رِخال  وليس كذلك  فَليُتَأَمّل    وقد يُفْتَح   وهكذا هو مَضْبُوط   في نُسَخِ الصحاح والضم رِوايةُ  السّكريّ في شرح أِشْعار هُذَيْل     [وسَقْمان]  ع      والسَّوْقَمُ  شَجَر  يُشْبِه الخِلاف  ولَيْس به  وقال أبو حَنِيفة  شَجَر   عِظامٌ  مثل الأثأب سواء  غير أنه  أطولُ منه وأقلّ عرضًا  وله ثَمرةٌ  مثل التِّين  وإذا كان أخضرَ فإنما  هو حَجَر صلابةً  فإن أدرك اصفَرَّ  شيئًا ولاَنَ وحَلاَ حلاوةً شَدِيدة   وهو طَيِّب الريح يُتهادَى     [والسَّقَمُونيا]   يونانية أو  سريانية كما في المِصْباح   نَباتٌ  يُسْتَخْرج من تَجاوِيفِه رُطوبَةٌ دَبِقَة  وتُجَفَّف  وتُدْعى باسْمِ نَبَاتِها أيضًا  مُضَادَّتُها للمَعِدَة  والأَحْشاء أَكْثَرُ من  جَمِيع المُسْهِلات  وتُصْلَح بالأَشْياءِ  العَطِرة كالفُلْفُل والزَّنْجَبِيل  والأَنِيسُون سِتُّ شَعِيرات منها إلى  عِشْرِين شَعِيرَة  يُسْهِل المِرَّةَ  الصَّفْراءَ واللُّزُوجاتِ الرّدِيئة من  أَقاصِي البَدَن  و  استعمال  جُزْء  منه بِجُزْء من تُرْبُذٍ في حَلِيب على  الرِّيق لا يَتْرك في البَطْن دُودَة   عَجِيبٌ في ذلك مُجَرَّبٌ       ومِمّا يُسْتَدْرَكُ عَلَيْه    أسقمه الدَّاءُ إسقامًا  أَمرضَه  نقله  الجوهريّ  [وسَقَّمه] [[تَسْقِيم]ًا] كذلك   قال ذو الرُّمَّة     هام الفُؤادُ بذِكْراهَا وخَامرَها   منها على عُدَواءِ الدَّارِ [تَسْقِيم]     [والمِسْقام] [كالسَّقِيم]  وفي  الصحاح  هو الكَثِير [السُّقم]   والأنثى [مِسْقام] أيضًا  وهذه عن  اللحياني  وأسقَم الرجلُ  [[[سَقِم]]]  أهلُه وترادَفَت عليه الأسقامُ   ورجل [[[[[سَقِيم]]]]]ٌ [مُسقِم]  [سَقُم] هو  وَأهْلُه    ومن المجاز  قَلْبٌ [[[[[سَقِيم]]]]]  وكلام   [[[[[سَقِيم]]]]]  وفَهْمٌ [[[[[سَقِيم]]]]]  وهو [[[[[سَقِيم]]]]]  الصّدر عليه  أي  حاقِد  
سقطم,2,سقطم السِّقْطِم,4,no vowel, *[سقطم]*	[سقطم]    [السِّقْطِم] كزِبْرِج   أهمله  الجوهَرِيُّ وصاحبُ اللّسان  وهي   الفَأْرَةُ   
سكم,7,سكم السَّيْكَم السَّكْم والسَّيْكَم سَكَم سَكْمًا سَيْكَم,3,no vowel, *[سكم]*	[سكم]    [السَّيْكَم] كَحَيْدَر   أهمله  الجوهَرِيّ  وقال ابنُ دُرَيد  [السَّكْم]  فعل مُمات  [والسَّيْكَم]    المُقارِبُ الخَطْو في ضَعْف   وقال  غيره   وقد [سَكَم] [سَكْمًا]      و  [سَيْكَم]  اسمُ رَجُل   صَوابُه   اسمُ امرأَة  كما في المُحكم  
سلم,380,سلم السَّلْم سَلْم وسِلامٌ سِلامِها السَّلْمُ سلمَتْه السِّلْم المُسالِم سلما مُسالِما سِلْم سَالَمَنِي السِّلْمُ سلْمٌ سِلْمِي سِلْمًا السِّلِم السِّلم السَّلاَم بالسَّلام الاستِسْلام السَّلَمَ الاستِسْلام المُسْلِمِين التَّسْلِيم السلم بالسِّلم السَّلَم السَّلَم السَّلَم الاسْتِسْلاَم السلم سَلَم السَّلَمْ سَلَمة سَلَمَة السَّلَم السَّلَم التَّسْلِيم السَّلَمَ السَّلَمُ سَلَمه سَلَمًا السَّلَم استَسْلَم سَلَمًا والسَّلِمَة وامْسَلِمَهْ والسّلمة وامْسَلِمهْ سِلامٌ لِسَلاَمَتِها وسَلامِ السِّلام السلام السَّلَمَة سَلَمَة سَلَمَةُ سَلَمة سَلِمة سَلَمة سَلِمة سَلِمة سَلَمة سَلَمَة سَلَمَة سَلَمَة سَلَمَةُ سَلَمَة سَلَمَة سَلَمَة سَلَمَة سَلِمَة السَّلَمى سَلِمة سَلِمة سَلِمة سَلِمة سَلِمة سَلِمة السَّلَمِيّ سَلِمة وَسَلَمَةُ سَلَمَة وسَلَمَةُ وسَلَمَة وسَلَمَةُ وسَلَمَةُ وسَلَمَةُ سَلَمة وسَلَمَة سَلاّم سَلاَمة سَلَمة سَلَمة سَلَمة وسَلَمةُ سَلَمةُ وسَلَمةُ وسَلَمة وسَلَمَة وسَلَمة وسَلَمة وسَلَمَةُ وسَلَمَة وسَلَمة وسَلَمة سُلَيمان وسَلَمة وَسَلَمة وسَلَمة وسَلَمة وسَلَمَة وسَلَمة وسَلَمة وسَلَمة وسَلَمَة وسَلَمَة وسَلَمَةُ وسَلَمَةُ سَلَمة سَلَمَة السَّلَمتان السَّلَماتِ السَّلَمات سَلَمَة سَلَمَة سَلَمة سُلَيْم سُلَيْمان سَلَمة والسَّلاَم لسلامته سَلِم السَّلاَم السَّلاَمَةُ سَلِم سَلامةً وسَلاماً السَّلامُ والسَّلامةُ بالسَّلامةِ سَلامِ السَّلامُ سَلامَة السّلام والسّلامة بالسّلام بالسّلامة سَلِم سَلامٌ لسَلامته السّلام سُلِم والسّالم سَلِم سالِم سالِم سَالِم يَسْلَم سَلِم بسالم سَلاماً سَالِم والسّلامَةُ السَّلامة السَّلامُ كالسَّلِيم والمَسْلُوم سَلِيماً وَمَسْلُوماً والسَّلامة سَلِيماً سلم السَّلِيم السَّلامُ سلام السَّلامِ السَّلام السّلام السَّلامْ السِّلامُ سَلَمة سَلامة السَّلَمة سَلامٍ السَّلام السِّلام السِّلاما السِّلاما فالسِّلام سُلام سُلَيْمُ بِسُلَيْم سُلَيْمُ سُلَيْم وسُلَيْم سُلَيْم سُلَيْم سُلَيم السُّلَيْم السُّلَيم سُلَيْم سُلَيْمَة سُلْمَى سُلْمى سُلْمى وسُلْمى سلمَى سَلْمَى سَلْمان وسَلْمان سَلْمان سَلْمانُ السَّلْمانِيّ السّلماني سَلْمان سَلامَة سَلاَمة سَلْمانُ سَلْمان سَلْمان سَلَمة سَلْمان مسلم سَلْمان سَلْمان والسُّلَّم يُسلِمُك السّلامة سَلالِيمُ وسَلالِمُ سَلالِيم السَّلالِيمُ بِسُلَّمِ السُّلَّم بالسّلم السُّلَّم السّلّم وسَلَم يَسْلِمُه سَلْماً بالسَّلَم مَسْلوم سَلَم يَسْلِمها سَلْماً مَسْلُوم وسَلِمَ سَلامَةً وسَلاماً وسَلَّمه تَسْلِيماً وسَلَّمْتُه تَسْلِيماً فَتَسَلَّمه والتَّسْلِيمُ التَّسْلِيم السَّلام التَّسْلِيم سَلّمت يَسْلَم مُسْلِماً فَسَلِمْت المُسلِم واْستَسْلَم مُسْلِم والمُسْلِم والمسلم المُسْلِم كَتَسَلَّم تَسَلَّم سَلَّمَه وتَسالَما السّلم وسَالَما مُسالَمَة سَالَمها المُسَالَمة يَسْتَلِم استَلَم السّلام استَلَم السّلام اْستِلامُ السِّلام السَّلام السّلام اْستَلَم يُسْتَلَم فالاسْتِلام واْسْتَسْلَم اْستَسْلَم تَمَسْلَم بمُسْلِم سالم يُسالِم سَالِم والسَّلامِيَّة سَلاَّم سَلاَّم وسَلاّم وَسَلَمْيَة السَّلَمانِيُّ سَلْمان السَّلَماني سَلَمة السَّلْمى سَلَمٍ سَلَمِ سَلَم وسَلْمَى سَلْمَى سَلْمَى سَلْمى سَلْمَى سَلْمَى سَلْمى سَلْمى سَلْمَى سُلْمَى سُلْمَى سُلْمَى سُلْمَى سُلْمَى سُلْمَى سُلْمَى والسُّلامان سُلامانَه سُلامان سَلْمان سَلْمَى سلمان وسلمى سلمان سلمى سَلْمان سَلْمَى كَسَلْمان سَلْمى كَسَلْمى سَلْمان سَلاَم السَّلام مُسْلِم سَلَمةُ سَلامٍ سَلامٌ وسَلامُ سَلاَمٍ سَلاَم السَّلامِيُّ سَلاّم سَلْمٍ سَالِم سُلَيْمان سَلاّم سُلَيْمان سَلاَّم سَلاَم سَلاّم سَلاّم سَلامُ سَلاَّم سَلاّم وسَلاّم وسَلاّم وسَلاّم وسَلاّم وسَلاّم وسَلاّم وسَلاّم سَلَمة سَلاّم وسَلاّم سَلاَمة سَلاَّم سَلاَم سلاّم,3,no vowel,
سلجم,22,سلجم السَّلْجَم سَلْجَمَا السَّلْجم السَّلْجَم السَّلْجَمُ السَّلْجَمْ سَلاجِم سَلاجِم السَّلْجَمُ السَّلْجَم كالسُّلاَجِم سَلْجَمٌ وسُلاجِمٌ سَلْجَمٌ وَسُلاجِم سَلاجِمُ السًّلْجَم السَّلْجَم السَّلْجَمُ مُسَلْجَمات ومُسَلْجَماتٌ,4,no vowel, *[سلجم]*	[سلجم]    [[[[السَّلْجَم]]]] كَجَعْفَر  نَبْت م   معروف  وقيل  هو ضَرْبٌ من  البُقُول يُؤْكل  قال     تَسْألُني بَرَامَتَيْن [سَلْجَمَا]   لَو أَنّها تَطْلب شَيْئاً أَمَمَا   قال الأزهَرِيّ  '  ولا تَقُل ثَلْجَم   بالمُثَلَّثَة   ولا شَلْجَمٌ  بالشِّين  المُعْجَمَة '   أو  الأخيرة  لُغَيّة    وأنشد اْبن بَرّيّ لأَبي الزَّحْفِ     هذا وَرَبِّ الرّاقِصاتِ الرُّمَّمِ   شِعْرِي ولا أُحْسِنُ أَكلَ [السَّلْجم]     قال  ومنهم من يتَكلَّم به بالشِّين  المُعْجَمة  ويروى الرَّجَز بالسِّين  والشِّين  قال  والصَّوابُ بالسّين  المهملة  وقال أبو حَنِيفَة  [[[[السَّلْجَم]]]]  مُعرَّب  وأصلُه بالشِّين  والعَربُ لا  تَتَكلّم إلا بالسِّن  قال  وكذا ذَكَره  سِيبَوَيه  وعلى هذا فإهْمال  المُصنّف إِيَّاه في فَصْل الشّين محلّ  تَأَمُّل     و  [[[[السَّلْجَم]]]]ُ   الطَّوِيلُ من الخَيْل   و  قال أبو حَنِيفَة  [[[[السَّلْجَم]]]]ْ  من  النِّصال   الطَّوِيلُ العَرِيض  وقال  غيره  هو الدَّقِيق منها كالسَّلْمَج   وجَمْعُهُما [[سَلاجِم]] وسَلامِجُ  وهي  النِّصال المُحَدَّدة  قال الراجِزُ     يَغْدُو بِكَلْبَيْن وقَوسٍ قَارِحِ   وقَرَنٍ وصِيغَةٍ [[سَلاجِم]]      و  [[[[السَّلْجَم]]]]ُ  الطَّوِيلُ  من  الرِّجال  و  [[[[السَّلْجَم]]]]  الجَمَلُ المُسِنُّ  الشَّدِيد [كالسُّلاَجِم] كعُلابِط فِيهِما    يقال  رجل سَلْجَمٌ وسُلاجِمٌ   وجَمَل سَلْجَمٌ [وَسُلاجِم]   وجَمْعُهُا  [[سَلاجِم]]ُ بالفَتْح      والِلَّحُيُ  [السًّلْجَم]  هو  الشَّدِيد   الوَافِر  الكَثيفُ  والرَّأْسُ  [[[[السَّلْجَم]]]]   هو  الطَّوِيلُ اللَّحْيَيْنِ       و  [[[[السَّلْجَم]]]]ُ   البِئْر العادِيّة الكَثِيرَةُ  الماء       وَمِمّا يُسْتَدْرَكُ عَلَيْهِ    سِهام [مُسَلْجَمات]  مُطوَّلات  مُعرَّضات  قال أبو ذُؤَيْب     فَذاك تِلادُهُ ومُسَلْجَماتٌ   نَظَائِرُ كُلِّ خَوَّارِ بَرُوقِ   
سلخم,2,سلخم المُسْلَخِمُّ,4,no vowel, *[سلخم]*	[سلخم]    المُسْلَخِمُّ كَمُشْمَعِلّ والخَاءُ  مُعْجَمة   أهملَه الجَوْهَرِي  وقال  الأَصمعيّ  هو  المُتَكَبِّر  المُتَعَظِّم   كالمُطْرخِمّ والمُطْلَخِمّ      وَمِمّا يُسْتَدْرَكُ عَلَيْهِ  
سلطم,4,سلطم السَّلْطَم والسُّلاطِمُ والسَّلْطَم,4,no vowel, *[سلطم]*	[سلطم]   [السَّلْطَم] والسُّلاطِمُ كَجَعْفَر  وعُلابِط  الطَّوِيل  [والسَّلْطَم]   الذي يَبْتَلِع كُلَّ شيء  كذا في  اللّسان   س ل ع م    السِّلعامُ بالكَسْرِ والعَيْنِ مُهْمَلَةٌ   أهمله الجوهريّ  وهو  الواسِعُ  الحَلْقِ العَظِيمُ البَطْنِ  من الرّجال   وقيل  هو الواسِعُ الفَمِ   و  قيل   هو  الطَّوِيلُ الأَنْفِ  من الرّجال    و  قيل  السِّلعامُ   الذّئبُ الدَّقِيقُ  الخَطْمِ الطَّوِيلُه   ووقع في بعض  النُّسَخ الذَّنَب - بالنّون محركة -  وهو خطأ   وأبُو سِلْعامَة كُنْيَتُه   أي  الذِّئْب  قال  المُفَضَّل  يقال   هو أخبَثُ من أَبِي سِلْعامَة وهو  الذِّئْب  قال الطِّرِمّاح يَصِف كِلاباً     مُرغِناتٍ لأَخْلَجِ الشِّدْقِ سِلْعامٍ   مُمَرٍّ مَفْتُولةٍ عَضُدُهْ       وَمِمّا يُسْتَدْرَكُ عَلَيْهِ    السَّلْغَمُ كَجَعْفَرَِ والغَيْن مُعْجَمة   هو الطَّوِيلُ  كما في اللِّسان  
سلقم,8,سلقم السَّلْقَم كالسُّلاَقِم سَلاقِمُ وسَلاَقِمَةٌ والسَّلْقَمَة السِّلْقمَة والسِّلْقَامَة,4,no vowel, *[سلقم]*	[سلقم]    [السَّلْقَم] كَجَعْفَر  أَهْمَلَه  الجَوْهَرِيّ  وهو  الأَسَد  [كالسُّلاَقِم]  كعُلاَبِط  و  أيضاً   البَعِيرُ الشَّدِيدُ  الفَكِّ  و  أيضاً   الطَّوِيلُ الأَنْفِ   من الرِّجال كالسَّلْعم  وجَمْعُهُما  سَلاقِمُ وسَلاَقِمَةٌ     [والسَّلْقَمَة]  الصَّلْقَمَة   لُغَة فيه   وسَيَأْتِي   و  أيضاً   الرِّيبَةُ  كما  في سائِرِ النُّسَخ  والذي في اللسان   [السِّلْقمَة]  الذّئبة  وضَبَطَها  بالكَسر   [والسِّلْقَامَة] بالكَسْرِ   الذِّئْبَةُ   
